Model No.,Product Code,Product Description,NRP
1110 F,JSE-CHR-110F0680H19X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth600mm to 800mm,"10,580"
1110 F,JSE-CHR-110F0812H19X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth801mm to 1200mm,"13,550"
1110 F,JSE-CHR-110F1216H19X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth1201mm to 1600mm,"16,640"
1110 F,JSE-CHR-110F1618H19X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth1601mm to 1800mm,"19,300"
1110 F,JSE-CHR-110F0680H22X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth600mm to 800mm,"12,640"
1110 F,JSE-CHR-110F0812H22X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth801mm to 1200mm,"15,860"
1110 F,JSE-CHR-110F1216H22X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth1201mm to 1600mm,"19,240"
1110 F,JSE-CHR-110F1618H22X,Free Standing Bathscreen without stabiizer rod - 10mm GlassWidth1601mm to 1800mm,"22,100"
Stabilizer,ZBR-CHR-STABWWX,SHOWER ENCLOSURES STABLIZER 10MM,"2,720"
Stabilizer,ZJE-CHR-STABWGX,SHOWER ENCLOSURES STABLIZER 10MM,"2,600"
1110 D,JSE-CHR-110D0680H19X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth600mm to,"13,330"
,,800mm,
1110 D,JSE-CHR-110D0810H19X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth801mm to,"14,890"
,,1200mm,
1110 D,JSE-CHR-110D1012H19X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth1001mm to,15890
,,1200mm,
1110 D,JSE-CHR-110D0680H22X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth600mm to,"15,890"
,,800mm,
1110 D,JSE-CHR-110D0810H22X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth801mm to,"17,620"
,,1200mm,
1110 D,JSE-CHR-110D1012H22X,Wall to wall enclosure only door with towel rod and handle - 10mm GlassWidth1001mm to,"18,710"
,,1200mm,
1110 T,JSE-CHR-110T0680X,Tub mounted enclosure - 10mm GlassWidth600mm to 800mm,"10,200"
1110 T,JSE-CHR-110T0812X,Tub mounted enclosure - 10mm GlassWidth801mm to 1200mm,"12,850"
1110 T,JSE-CHR-110T1216X,Tub mounted enclosure - 10mm GlassWidth1201mm to 1600mm,"15,790"
1110 T,JSE-CHR-110T1618X,Tub mounted enclosure - 10mm GlassWidth1601mm to 1800mm,"17,840"
1110 U,JSE-CHR-110UC450X,Curved shaped Urinal partition - 10mm GlassWidth450,"5,720"
