PART CODE,Description,NRP
VGP-CHR-81011B,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"4,080"
VGP-CHR-81051B,Single Lever Basin Mixer with Popup Waste System & 450mm Long Braided Hoses,"5,170"
VGP-CHR-81005NB,Single Lever Tall Boy with 180mm Extension Body Fixed Spout without Popup Waste System with 600mm Long,"5,410"
,Braided Hoses,
VGP-CHR-81233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,550"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
VGP-CHR-81119,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","5,250"
VGP-CHR-81145,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH &,"4,970"
,SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,
VGP-CHR-81147,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with,"4,000"
,Connecting Legs & Wall Flanges,
VGP-CHR-81149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"4,150"
VGP-CHR-81783K,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,350"
VGP-CHR-81065NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,320"
,(Compatible with Item ALD-065N),
VGP-CHR-81079NK,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,710"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
VGP-CHR-81193K,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","2,210"
,For Item ALD-193),
VGP-CHR-81227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,190"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
VGP-CHR-81121K,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","37,140"
,& Shower Hose (Compatible with ALD-121),
VGP-CHR-81165,Single Lever Sink Mixer with Swinging Spout on Upper Side (Wall Mounted Model) with Connecting Legs & Wall,"4,560"
,Flanges,
VGP-CHR-81173B,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,"3,680"
VGP-CHR-81213B,Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"5,170"
VGP-CHR-81001,Pillar Cock,"2,160"
VGP-CHR-81021N,Pillar Cock with Extension Body,"2,660"
VGP-CHR-81433,Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"4,800"
VGP-CHR-81441K,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,910"
,(with Seals) & Basin Spout (Compatible with ALD-441),
VGP-CHR-81421,4-Way Divertor for Concealed Fitting with Built-in Non-Return Valves with Divertor Handle,"3,140"
VGP-CHR-81037,Bib Cock with Wall Flange,"1,830"
VGP-CHR-81041,2 Way Bib Cock with Wall Flange,"2,140"
VGP-CHR-81053,Angular Stop Cock with Wall Flange,"1,070"
VGP-CHR-81083K,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",610
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
