Model No.,Product Code,Product Description,NRP
S810F,JSE-BLM-S810F0680H20X,Free standing bathscreen without stabiizer rod with square hardware & profile - 8mm glass,"7,920"
,,(600mm to 800mm) x 2000mm,
S810F,JSE-BLM-S810F0812H20X,Free standing bathscreen without stabiizer rod with square hardware & profile - 8mm glass,"10,280"
,,(801mm to 1200mm) x 2000mm,
S810F,JSE-BLM-S810F1216H20X,Free standing bathscreen without stabiizer rod - 8mm glass (1201mm to 1600mm) x 2000mm,"12,150"
S810S,JSE-BLM-S810S0680H20X,Free standing bathscreen with stabiizer rod with square hardware & profile - 8mm glass (600mm,"14,610"
,,to 800mm) x 2000mm,
S810S,JSE-BLM-S810S0812H20X,Free standing bathscreen with stabiizer rod with square hardware & profile - 8mm glass (801mm,"19,860"
,,to 1200mm) x 2000mm,
S810S,JSE-BLM-S810S1216H20X,Free standing bathscreen with stabiizer rod with square hardware & profile - 8mm glass,"22,360"
,,(1201mm to 1600mm) x 2000mm,
S810D,JSE-BLM-S810D0680H20X,Wall to wall enclosure only door with towel rod and handle with square hardware- 8mm glass,"18,350"
,,(600mm to 800mm) x 2000mm,
S810D,JSE-BLM-S810D0810H20X,Wall to wall enclosure only door with towel rod and handle with square hardware- 8mm glass,"20,060"
,,(801mm to 1000mm) x 2000mm,
S820 W,JSE-BLM-S820W0812H20X,Wall to wall enclosure with one fixed glass and openable door fixed with wall with square hard-,"33,830"
,,ware & profile - 8mm glass (801mm to 1200mm) x 2000mm,
S820 W,JSE-BLM-S820W1216H20X,Wall to wall enclosure with one fixed glass and openable door fixed with wall with square hard-,"36,700"
,,ware & profile - 8mm glass (1201mm to 1600mm) x 2000mm,
S820 W,JSE-BLM-S820W1620H20X,Wall to wall enclosure with one fixed glass and openable door fixed with wall with square hard-,"42,690"
,,ware & profile - 8mm glass (1601mm to 2000mm) x 2000mm,
