Model No.,Product Code,Product Description,NRP
White,ESA-WHT-LDG2024,Artificial Marble Ledge 2001-2400 (White,"3,310"
Black,ESA-BLK-LDG9090,Artificial Marble Ledge 900x900 (Black),"3,160"
Black,ESA-BLK-LDG1010,Artificial Marble Ledge 1000x1000 (Black),"3,160"
Black,ESA-BLK-LDG1012,Artificial Marble Ledge 1000x1200 (Black),"3,750"
Black,ESA-BLK-LDG1212,Artificial Marble Ledge 1200x1200 (Black),"3,750"
Black,ESA-BLK-LDG1512,Artificial Marble Ledge 1500 X 1200  (Black),"6,140"
Black,ESA-BLK-LDG0812,Artificial Marble Ledge 801-1200 (Black),"3,020"
Black,ESA-BLK-LDG1216,Artificial Marble Ledge 1201-1600 (Black),"3,020"
Black,ESA-BLK-LDG1620,Artificial Marble Ledge 1601-2000 (Black),"3,020"
Black,ESA-BLK-LDG2024,Artificial Marble Ledge 2001-2400 (Black),"3,620"
Delta Ledge,,,
Galaxy Black,ESA-GBL-LDGD9090,Artificial Marble Ledge 900x900m,"3,120"
Galaxy Black,ESA-GBL-LDGD1010,Artificial Marble Ledge 1000x1000mm,"3,410"
Galaxy Black,ESA-GBL-LDGD1212,Artificial Marble Ledge 1200x1200mm,"4,330"
White,ESA-WHT-LDGD9090,Artificial Marble Ledge 900x900m,"2,830"
White,ESA-WHT-LDGD1010,Artificial Marble Ledge 1000x1000mm,"3,120"
White,ESA-WHT-LDGD1212,Artificial Marble Ledge 1200x1200mm,"4,040"
Beige,ESA-BGE-LDGD9090,Artificial Marble Ledge 900x900m,"3,710"
Beige,ESA-BGE-LDGD1010,Artificial Marble Ledge 1000x1000mm,"4,210"
Beige,ESA-BGE-LDGD1212,Artificial Marble Ledge 1200x1200mm,"5,150"
Shower Tray,,,
SQUARE SHAPED,JSE-WHT-STSQ9090X,Shower Tray 900mm X 900mm Square,"11,750"
SQUARE SHAPED,JSE-WHT-STSQ1010X,Shower Tray 1000mm X 1000mm Square,"13,580"
SQUARE SHAPED,JSE-WHT-STSQ1212X,Shower Tray 1200mm X 1200mm Square,"16,990"
RECTANGULAR,JSE-WHT-STRCT1210X,Shower Tray 1200mm X 1000mm Rectangle,"15,530"
QUADRANT SHAPED,JSE-WHT-STQD9090X,Shower Tray 900mm X 900mm Quadrant,"11,750"
QUADRANT SHAPED,JSE-WHT-STQD1010X,Shower Tray 1000mm X 1000mm Quadrant,"13,580"
QUADRANT SHAPED,JSE-WHT-STQD1212X,Shower Tray 1200mm X 1200mm Quadrant,"16,990"
