PART CODE,Description,NRP
CON-CHR-011KN,Pillar Cock,"1,220"
CON-CHR-021KN,Pillar Cock Long Neck with Aerator,"1,620"
CON-CHR-123BKN,Swan Neck Tap with Left Hand Operating Knob with 450mm Long Braided Hose,"2,200"
CON-CHR-127BKN,Swan Neck Tap with Right Hand Operating Knob with 450mm Long Braided Hose,"2,200"
CON-CHR-167KNB,Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"3,540"
CON-CHR-169KNB,Central Hole Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,"4,320"
CON-CHR-219KN,Wall Mixer Non-Telephonic Shower Arrangement with Connecting Legs & Wall Flanges,"3,580"
CON-CHR-217KN,"Wall Mixer with Telephone Shower Arrangement,Connecting Legs & Wall Flanges but without Crutch & Telephone","4,250"
,Shower,
CON-CHR-267KN,"Wall Mixer with Connector for Hand Shower arrangement with Connecting Legs, Wall Flanges & Wall Bracket for","4,600"
,Hand Shower,
CON-CHR-273KNUPR,"Wall Mixer with Provision for Overhead Shower with 115mm Long Bend Pipe on Upper Side, Connecting Legs &","4,780"
,Wall Flanges,
CON-CHR-281KN,Wall Mixer 3-in-1 System with Provision for both Hand Shower and Overhead Shower Complete with 115mm,"5,430"
,"Long Bend Pipe, Connecting Legs & Wall Flange (without Hand & Overhead Shower)",
CON-CHR-271KN,Bath Tub Mixer (Exposed Adjustable Legs) with Telephone Shower Arrangement & Crutch,"5,760"
CON-CHR-309KNM,Sink Mixer with Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"3,450"
CON-CHR-309KNBM,Sink Mixer with Swinging Spout (Table Mounted Model) with 450mm Long Braided Hoses,"3,350"
CON-CHR-319KN,Sink Mixer with Raised J Shaped Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"3,530"
CON-CHR-319KNB,Sink Mixer with Raised J Shaped Swinging Spout (Table Mounted Model) with 450mm Long Braided Hoses,"3,430"
CON-CHR-321KNB,Sink Mixer with Extended Spout (Table Mounted Model) with 450mm Long Braided Hoses,"4,060"
CON-CHR-347KNM,Sink Cock with Swinging Spout (Wall Mounted Model),"1,790"
CON-CHR-349KNM,Sink Cock with Swinging Spout (Table Mounted Model),"2,110"
CON-CHR-357KN,Sink Cock with Raised J Shaped Swinging Spout (Wall Mounted Model),"1,910"
