Model,Product Code,Product Description,NRP
No.,,,
S810F,JSE-CHR-S810F0680H20X,Free Standing Bathscreen Without Stabiizer Rod With Square Hardware & Profile - 8mm Glass,"9,900"
,,(600mm To 800mm) X 2000mm,
S810F,JSE-CHR-S810F0812H20X,Free Standing Bathscreen Without Stabiizer Rod With Square Hardware & Profile - 8mm Glass,"12,770"
,,(801mm To 1200mm) X 2000mm,
S810F,JSE-CHR-S810F1216H20X,Free Standing Bathscreen Without Stabiizer Rod With Square Hardware & Profile - 8mm Glass,"15,220"
,,(1201mm To 1600mm) X 2000mm,
S810S,JSE-CHR-S810S0680H20X,Free Standing Bathscreen With Stabiizer Rod With Square Hardware & Profile - 8mm Glass (600mm,"17,250"
,,To 800mm) X 2000mm,
S810S,JSE-CHR-S810S0812H20X,Free Standing Bathscreen With Stabiizer Rod With Square Hardware & Profile - 8mm Glass (801mm,"20,110"
,,To 1200mm) X 2000mm,
S810S,JSE-CHR-S810S1216H20X,Free Standing Bathscreen With Stabiizer Rod With Square Hardware & Profile - 8mm Glass,"22,560"
,,(1201mm To 1600mm) X 2000mm,
S810 D,JSE-CHR-S810D0680H20X,Door With Towel Rod And Handle With Square Hardware- 8mm Glass (600mm To 800mm) X,"19,810"
,,2000mm,
S810 D,JSE-CHR-S810D0810H20X,Door With Towel Rod And Handle With Square Hardware- 8mm Glass (801mm To 1000mm) X,"22,050"
,,2000mm,
S820 W,JSE-CHR-S820W0812H20X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall With Square,"32,680"
,,Hardware & Profile - 8mm Glass (801mm To 1200mm) X 2000mm,
S820 W,JSE-CHR-S820W1216H20X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall With Square,"36,220"
,,Hardware & Profile - 8mm Glass (1201mm To 1600mm) X 2000mm,
S820 W,JSE-CHR-S820W1620H20X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall With Square,"39,870"
,,Hardware & Profile - 8mm Glass (1601mm To 2000mm) X 2000mm,
S830 G,JSE-CHR-S830G1216H20X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between With Square Hardware,"41,590"
,,& Profile- 8mm Glass (1201mm To 1600mm) X 2000mm,
S830 G,JSE-CHR-S830G1620H20X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between With Square Hardware,"44,110"
,,& Profile- 8mm Glass (1601mm To 2000mm) X 2000mm,
S830 G,JSE-CHR-S830G2024H20X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between With Square Hardware,"49,860"
,,& Profile- 8mm Glass (2001mm To 2400mm) X 2000mm,
S830 G,JSE-CHR-S830G2428H20X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between With Square Hardware,"55,030"
,,& Profile- 8mm Glass (2401mm To 2800mm) X 2000mm,
S840 L,JSE-CHR-S840L1620H20X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel With Square,"4,4500"
,,Hardware & Profile - 8mm Glass (1601mm To 2000mm) X 2000mm,
S840 L,JSE-CHR-S840L2024H20X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel With Square,"48,920"
,,Hardware & Profile - 8mm Glass (2001mm To 2400mm) X 2000mm,
S840 L,JSE-CHR-S840L2428H20X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel With Square,"53,660"
,,Hardware & Profile - 8mm Glass (2401mm To 2800mm) X 2000mm,
S840 L,JSE-CHR-S840L2832H20X,Corner Enclosure With 2 Fixed Glass And 1 Openable Door Fixed With Side Panel With Square,"56,460"
,,Hardware & Profile - 8mm Glass (2801mm To 3200mm) X 2000mm,
S810F,JSE-CHR-S810F0680H22X,Free Standing Bathscreen Without Stabiizer Rod - 8mm Glass (600mm To 800mm) X 2200mm,"10,880"
S810F,JSE-CHR-S810F0812H22X,Free Standing Bathscreen Without Stabiizer Rod - 8mm Glass (801mm To 1200mm) X 2200mm,"13,950"
S810F,JSE-CHR-S810F1216H22X,Free Standing Bathscreen Without Stabiizer Rod - 8mm Glass (1201mm To 1600mm) X 2200mm,"16,510"
S810S,JSE-CHR-S810S0680H22X,Free Standing Bathscreen With Stabiizer Rod - 8mm Glass (600mm To 800mm) X 2200mm,"18,220"
S810S,JSE-CHR-S810S0812H22X,Free Standing Bathscreen With Stabiizer Rod - 8mm Glass (801mm To 1200mm) X 2200mm,"21,290"
S810S,JSE-CHR-S810S1216H22X,Free Standing Bathscreen With Stabiizer Rod - 8mm Glass (1201mm To 1600mm) X 2200mm,"23,850"
S810D,JSE-CHR-S810D0680H22X,Wall To Wall Enclosure Only Door With Towel Rod And Handle With Square Hardware- 8mm Glass,"24,150"
,,(600mm To 800mm) X 2200mm,
S810D,JSE-CHR-S810D0810H22X,Wall To Wall Enclosure Only Door With Towel Rod And Handle With Square Hardware- 8mm Glass,"26,600"
,,(801mm To 1000mm) X 2200mm,
S820 W,JSE-CHR-S820W0812H22X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall - 8mm Glass,"37,960"
,,(801mm To 1200mm) X 2200mm,
S820 W,JSE-CHR-S820W1216H22X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall - 8mm Glass,"41,760"
,,(1201mm To 1600mm) X 2200mm,
S820 W,JSE-CHR-S820W1620H22X,Wall To Wall Enclosure With One Fixed Glass And Openable Door Fixed With Wall - 8mm Glass,"45,490"
,,(1601mm To 2000mm) X 2200mm,
S830 G,JSE-CHR-S830G1216H22X,Wall To Wall Enclosure With 2 Fixed Glass And 1 Openable Door In Between- 8mm Glass (1201mm,"49,190"
,,To 1600mm) X 2200mm,
