Present Codes,Description,NRP
QPS-WHT-7151PM,"Floor Mounted Bidet With Fixing Accessories, Size: 410x570x420 mm","11,100"
QPS-WHT-7153PM,"Wall Hung Bidet, Size: 420x560x370 mm","10,200"
QPS-WHT-7303PM,Full Pedestal For QPS-WHT-7803PM,"3,650"
QPS-WHT-7701PM,"Under Counter Basin With Fixing Accessories, Size: 590x430x215 mm","6,600"
QPS-WHT-7753P180UFPMZ,"Rimless Bowl With Cistern For Coupled WC, UF Soft Close Seat Cover, Hinges, Dual Flush Cistern Fitting","26,200"
,"And Fixing Accessories, Size: 420x710x810 mm, P Trap- 180 mm",
QPS-WHT-7753P180UFSPMZ,"Rimless Bowl With Side Flush Cistern For Coupled WC, UF Soft Close Seat Cover, Hinges, Single Flush","26,200"
,"Cistern Fitting And Fixing Accessories, Size: 420x710x810 mm, P Trap- 180 mm",
QPS-WHT-7753S250UFPMZ,"Rimless Bowl With Cistern For Coupled WC, UF Soft Close Seat Cover, Hinges, Dual Flush Cistern",26.200
,"Fitting, Conversion Bend And Fixing Accessories, Size: 420x710x810 mm, S Trap- 250 mm (With",
,Conversion Bend),
QPS-WHT-7753S250UFSPMZ,"Rimless Bowl With Side Flush Cistern For Coupled WC, UF Soft Close Seat Cover, Hinges, Conversion","26,200"
,"Bend, Single Flush Cistern Fitting And Fixing Accessories, Size: 420x710x810 mm, S Trap- 250 mm",
,(With Conversion Bend),
QPS-WHT-7803PM,"""Wall Hung Basin With Fixing Accessories,","9,100"
,"Size: 610x465x275 mm""",
QPS-WHT-7901PM,"""Table Top Basin,","10,200"
,"Size: 600x460x195 mm""",
QPS-WHT-7953UFPM,"Rimless Wall Hung WC With UF Soft Close Seat Cover, Hinges, Accessories Set, Size: 420x560x370 mm","20,900"
QPS-WHT-7955P180UFPM,"Rimless Back To Wall WC With UF Soft Close Seat Cover, Hinges, Fixing Accessories And Accessories","17,900"
,"Set, Size: 410x570x420 mm, P Trap- 180 mm",
