Model No.,Product Code,Product Description,NRP
S840 P,JSE-CHR-S840P1010SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"49,020"
,,sion  with square hardware & profile  - 8mm glass width 1000x1000,
S840 P,JSE-CHR-S840P1111SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"52,600"
,,sion with square hardware & profile  - 8mm glass width 1100x1100,
S840 P,JSE-CHR-S840P1212SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"53,770"
,,sion with square hardware & profile  - 8mm glass width 1200x1200,
S840 P,JSE-CHR-S840P1313SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"55,130"
,,sion with square hardware & profile  - 8mm glass width 1300x1300,
S840 P,JSE-CHR-S840P1414SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"57,520"
,,sion with square hardware & profile  - 8mm glass width 1400x1400,
S840 P,JSE-CHR-S840P1515SX,Pentagonal shaped corner enclosure with 2 fixed glass and 1 openable door in standard dimen-,"59,730"
,,sion with square hardware & profile  - 8mm glass width 1500x1500,
S860 T,JSE-CHR-S186T3034H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"74,210"
,,fixed with the common glass with square hardware - 8mm glasswidth3000mm to 3400mm,
S860 T,JSE-CHR-S186T3438H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"77,430"
,,fixed with the common glass with square hardware - 8mm glasswidth3400mm to 3800mm,
S860 T,JSE-CHR-S186T3842H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"80,110"
,,fixed with the common glass with square hardware - 8mm glasswidth3800mm to 4200mm,
S860 T,JSE-CHR-S186T4246H20X,T shaped enclosure separating 2 shower/ wc areas with a common glass. 2 Doors in the front,"83,560"
,,fixed with the common glass with square hardware - 8mm glasswidth4200mm to 4600mm,
