PART CODE,Description,NRP
CON-CHR-359KN,Sink Cock with Raised J Shaped Swinging Spout (Table Mounted Model),"2,240"
CON-CHR-037KN,Bib Cock,"1,050"
CON-CHR-047KN,Bib Cock with Wall Flange,"1,090"
CON-CHR-107KN,Long Body Bib Cock with Wall Flange,"1,430"
CON-CHR-041KN,2-Way Bib Cock,"1,230"
CON-CHR-049NKN,Bib Cock with Nozzle,"1,100"
CON-CHR-053KN,Angular Stop Cock,840
CON-CHR-059KN,Angular Stop Cock with Wall Flange,880
CON-CHR-083FTK,"Exposed part kit of concealed stop cock with fitting sleeve, operating lever & adjustable wall flange (Compatible",510
,with ALD-083FT & ALD-089FT),
CON-CHR-087FTK,"Exposed part kit of concealed stop cock with fitting sleeve, operating lever & adjustable wall flange (Compatible",580
,with ALD-087FT),
CON-CHR-069FTK,"Exposed part kit of concealed stop cock with operating lever, collor bush & adjustable wall flange (Compatible with",450
,ALD-069FT),
CON-CHR-1081KN,Flush Cock with Wall Flange 25mm with Plain Knob,"2,060"
CON-CHR-1081A,Flush Cock with Wall Flange 25mm with Lever Knob,"2,450"
