Present Codes,Description,NRP
LYS-WHT-38301,Full Pedestal For LYS-WHT-38801,"1,930"
LYS-WHT-38305,Half Pedestal With Fixing Accessories For LYS-WHT-38801,"1,550"
LYS-WHT-38751P180UFSMZ,"Bowl With Cistern For Coupled Wc With Uf Soft Close Slim Seat Cover, Hinges, Fixing Accessories And","17,200"
,"Accessories Set, Cistern Fittings, Size: 380X660x765 Mm, P Trap-180Mm",
LYS-WHT-38751S250UFSMZ,"Bowl With Cistern For Coupled Wc With Uf Soft Close Slim Seat Cover, Hinges, Fixing Accessories And","17,200"
,"Accessories Set, Cistern Fittings, Size: 380X660x765 Mm, S Trap-250Mm",
LYS-WHT-38801,"""Wall Hung Basin With Fixing Accessories, Size: 590x490x185 mm""","3,940"
LYS-WHT-38851P180UFSM,"Single Piece WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","21,400"
,"Accessories, Size: 360x655x765 mm, P Trap- 180 mm",
LYS-WHT-38851S220UFSM,"Single Piece WC With UF Soft Close Slim Seat cover, Hinges, Dual Flush Cistern Fitting, Fixing","21,400"
,"Accessories And  Accessories Set, Size:365x655x765 mm, S Trap- 220 mm",
LYS-WHT-38851S220UFSMN,"Single Piece WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","21,400"
,"Accessories And Accessories Set, Size: 370x670x720 mm, S Trap- 220 mm",
LYS-WHT-38851S300UFSM,"Single Piece WC With UF Soft Close Slim Seat cover, Hinges, Dual Flush Cistern Fitting, Fixing","21,400"
,"Accessories And  Accessories Set, Size:365x655x765 mm, S Trap- 300 mm",
LYS-WHT-38851S300UFSMN,"Single Piece WC With UF Soft Close Slim Seat Cover, Hinges, Dual Flush Cistern Fitting, Fixing","21,400"
,"Accessories And Accessories Set, Size: 370x670x720 mm, S Trap- 300 mm",
LYS-WHT-38901N,"Thin Rim Table Top Basin, Size: 600x410x100 mm, Shape - Triangular","5,660"
LYS-WHT-38931,"""Table Top Basin, Size: 635x410x120 mm""","4,890"
LYS-WHT-38953BIUFSM,"Rimless, Blind Installation Wall Hung WC With UF Soft Close Slim Seat Cover, Hinges, Accessories Set,","14,000"
,Size: 360x500x360 mm,
LAS-WHT-91901,"Table top basin, Size:380x380x130MM, Shape : Square","4,950"
LAS-WHT-91903,"Table top basin, Size:450x450x130MM, Shape : Square","6,700"
LAS-WHT-91905,"Table top basin, Size:600x380x130MM, Shape : Rectangular","7,200"
LAS-WHT-91801,"Wall hung basin with fixing accessories, Size:500x450x175MM","8,500"
LAS-WHT-91301,Full Pedestal For 91801,"4,300"
LAS-WHT-91953BIUFSM,"Rimless Blind Installation Wall Hung WC  with UF Soft close slim seat cover, hinges and accessories set,","16,300"
,Size: 370x525x350,
LAS-WHT-91701,"Under counter basin with fixing accessories, Size: 450x450x170 MM, Shape : Square","6,900"
LAS-WHT-91703,"Under counter basin with fixing accessories, Size: 600x450x170 MM, Shape : Rectangular","8,200"
LAS-WHT-91705,"Under counter basin with fixing accessories, Size: 350x350x160 MM, Shape : Round","4,800"
LAS-WHT-91707,"Under counter basin with fixing accessories, Size: 450x450x170 MM, Shape : Round","6,500"
LAS-WHT-91931,Table Top wash basin with three tap hole600x450x175 MM,"10,190"
LAS-WHT-91153,"Wall Hung Bidet, Size: 370x525x270 MM","8,700"
