PART CODE,Description,NRP
SOL-CHR-6001B,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"3,710"
SOL-CHR-6051B,Single Lever Basin Mixer with Popup Waste System & 450mm Long Braided Hoses,"4,720"
SOL-CHR-6231NK,"Exposed Parts kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve,","2,610"
,"Nipple, Spout & Two Wall Flanges (Compatible with ALD-233NPSO & ALD-235NPSO)",
SOL-CHR-6233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","2,950"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
SOL-CHR-6119,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","4,770"
SOL-CHR-6145,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH &,"4,700"
,SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,
SOL-CHR-6147,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with,"3,920"
,Connecting Legs & Wall Flanges,
SOL-CHR-6149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"3,830"
SOL-CHR-6135,Single Lever High Flow Bath Filler (Concealed Body) Wall Mounted Model with Bath Spout (Composite One Piece,"6,790"
,Body),
SOL-CHR-6137,Single Lever High Flow Bath & Shower Mixer (Concealed Body) Wall Mounted Model with Button Spout,"7,260"
,(Composite One Piece Body),
SOL-CHR-6065NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,450"
,(Compatible with Item ALD-065N),
SOL-CHR-6075K,"Single Lever Exposed Parts Kit of Divertor Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,460"
,(Suitable For Item ALD-075),
SOL-CHR-6079NK,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,760"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
SOL-CHR-6193K,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","1,800"
,For Item ALD-193),
SOL-CHR-6139,Single Lever Concealed Shower Mixer For Connection To Overhead Shower only,"3,600"
SOL-CHR-6227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,300"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
SOL-CHR-6121K,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","37,270"
,& Shower Hose (Compatible with ALD-121),
SOL-CHR-6163,Single Lever Sink Mixer Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"4,530"
SOL-CHR-6165,Single Lever Sink Mixer with Swinging Spout on Upper Side (Wall Mounted Model) with Connecting Legs & Wall,"4,670"
,Flanges,
SOL-CHR-6173B,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,"3,600"
SOL-CHR-6011,Pillar Cock,"1,870"
SOL-CHR-6021,Pillar Cock with 200mm Extension Body,"2,490"
