Model No.,Product Code,Product Description,NRP
Kretana,BKE-SLM-0542033X,Corner entry enclosures with door sliding to both sides in 4mm Glass  & Standard Dimension,"25,250"
,,Width1000X1000,
Kretana,BKE-SLM-0542039X,Corner entry enclosures with door sliding to both sides in 4mm Glass  & Standard Dimension,"26,690"
,,Width1200X1000,
Kretana,BKE-SLM-0542099X,Corner entry enclosures with door sliding to both sides in 4mm Glass  & Standard Dimension,"27,840"
,,Width1200X1200,
Kristall Trend,BKT-CHR-31651000X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimension,"28,380"
,,Width1000X1000,
Kristall Trend,BKT-CHR-31651012X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimension-,"30,250"
,,Width1200X1000,
Kristall Trend,BKT-CHR-31651200X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimension-,"32,150"
,,Width1200X1200,
ENNA,JSE-CHR-ENNA9090X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"31,100"
,,sion900X900,
ENNA,JSE-CHR-ENNA1010X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"31,990"
,,sion1000X1000,
ENNA,JSE-CHR-ENNA1012X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"33,070"
,,sion1000X1200,
ENNA,JSE-CHR-ENNA1212X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"34,040"
,,sion1200X1200,
ENNA,JSE-CHR-ENNA1512X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"37,000"
,,sion1500X1200,
ENNA,JSE-CHR-ENNA1515X,Corner entry enclosures with door sliding to both sides in 6mm Glass & Standard Dimen-,"41,240"
,,sion1500X1500,
Delta,JSE-CHR-DEL9090X,Corner Entry half round enclosure with curved sliding doorWidth900X900,"21,490"
Delta,JSE-CHR-DEL1010X,Corner Entry half round enclosure with curved sliding doorWidth1000X1000,"22,660"
Delta,JSE-CHR-DEL1212X,Corner Entry half round enclosure with curved sliding doorWidth1200X1200,"24,720"
Fusion Plus,JSE-CHR-FUSP1280X,Corner Shower enclosure with sliding door and entry from the front in 8mm Glass & Standard,"26,210"
,,Dimension Width1200 X 800,
Fusion Plus,JSE-CHR-FUSP1290X,Corner Shower enclosure with sliding door and entry from the front in 8mm Glass & Standard,"26,870"
,,DimensionWidth1200 X 900,
Fusion Plus,JSE-CHR-FUSP1210X,Corner Shower enclosure with sliding door and entry from the front in 8mm Glass & Standard,"27,370"
,,DimensionWidth1200 X 1000,
Delta 180,JSE-CHR-DEL8M10DL002,"Enclosure covering all 3 sides and entry with sliding door from the front, ideal for shower areas in","41,130"
,,the middle of bathroom in 8mm Glass & Standard Dimension Width1000X850,
Delta 180,JSE-WHT-ST1000X850,Shower tray for Delta 180 ModelWidth 1000X900,"13,540"
MICA,JSE-CHR-MICA8M90D391,Corner entry enclosure with one openale door in between and fixed glass on both sidesin 8mm,"32,130"
,,Glass & Standard Dimension Width900X900,
MICA,JSE-CHR-MICA8M10D391,Corner entry enclosure with one openale door in between and fixed glass on both sidesin 8mm,"33,860"
,,Glass & Standard Dimension Width1000X1000,
MICA,JSE-CHR-MICA8M12D391,Corner entry enclosure with one openale door in between and fixed glass on both sidesin 8mm,"36,670"
,,Glass & Standard Dimension Width1200X1200,
