PART CODE,Description,NRP
FLV-CHR-1015,Flush Valve Complete with 32 mm Size Control Cock with Elbow Set & Wall Flanges (Regular Size),"5,470"
FLV-CHR-1015NEL,Flush Valve Complete with 32 mm Size Control Cock with Elbow Set & Wall Flanges (NEL Size),"5,470"
FLV-CHR-1015G,Flush Valve Complete with 32mm Size Control Cock with Elbow Set & Wall Flanges (Fixed Discharge of 4.0 Lts.,"5,610"
,Per Flusing) Regular Size,
FLV-CHR-1021F,Flush Valve Complete with 32mm Size Control Cock & Wall Flange (Front Operating Lever),"5,350"
ALD-CHR-1025,Flush Valve Complete with 32mm Size Control Cock with  Elbow Set (ISI) & Wall Flanges,"5,860"
FLV-CHR-1029,Flush Valve Dual Flow with 32mm Control Cock with Elbow & Wall Flanges (Regular Size),"5,930"
FLV-CHR-1029F,Flush Valve Dual Flow with 32mm Control Cock with Elbow & Wall Flanges (Regular Size-Front Operating Lever),"6,150"
FLV-CHR-1029NEL,Flush Valve Dual Flow with 32mm Control Cock with Elbow & Wall Flanges (NEL Size),"5,930"
FLV-CHR-1029NELF,Flush Valve Dual Flow with 32mm Control Cock with Elbow & Wall Flanges (NEL Size-Front  Operating Lever),"6,150"
FLV-CHR-1039,Flush Valve Dual Flow with 32mm Size Control Cock with Elbow Set (Fixed Discharge of 3.0/6.0 Lts. Per Flushing),"5,520"
FLV-CHR-1083,Elbow Set Size 32mm Complete with Adjustable Sleeve & Wall Flange,930
FLV-CHR-1001,Remote Operated Flush Valve with 32mm Size Control Cock & Operating Lever Assesmbly,"5,690"
FLV-CHR-1051,Concealed Flush Valve Complete with 32mm Size Control Cock & 200mm Long Operating Lever,"5,960"
FLV-CHR-1051L300,Concealed Flush Valve Complete with 32mm Size Control Cock & 300mm Long Operating Lever,"6,230"
FLV-CHR-1071,Concealed Flush Valve Complete with 32mm Size Control Cock & 75mm Long Operating Lever,"5,650"
