Model No.,Product Code,Product Description,NRP
1110 U,JSE-CHR-110US450X,PARTITION GLAS FOR URINALS 450MM - 10mm GlassWidth450,5720
1110 U ( Projects ),JSE-CHR-110UCP450X,PARTITION GLAS FOR URINALS 450MMWidth450,4860
1110 U ( Projects ),JSE-CHR-110USP450X,PARTITION GLAS FOR URINALS 450MMWidth450,4860
1120 W,JSE-CHR-120W0812H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,22690
,,GlassWidth800mm to 1200mm,
1120 W,JSE-CHR-120W1216H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,26880
,,GlassWidth1201mm to 1600mm,
1120 W,JSE-CHR-120W1618H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,"29,500"
,,GlassWidth1601mm to 1800mm,
1120 W,JSE-CHR-120W0812H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,"27,220"
,,GlassWidth800mm to 1200mm,
1120 W,JSE-CHR-120W1216H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,"31,740"
,,GlassWidth1201mm to 1600mm,
1120 W,JSE-CHR-120W1618H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 10mm,"34,630"
,,GlassWidth1601mm to 1800mm,
1120 G,JSE-CHR-120G8012H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"24,390"
,,10mm GlassWidth800mm to 1200mm,
1120 G,JSE-CHR-120G1216H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"28,130"
,,10mm GlassWidth1201mm to 1600mm,
1120 G,JSE-CHR-120G1618H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"31,130"
,,10mm GlassWidth1601mm to 2000mm,
1120 G,JSE-CHR-120G8012H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"30,670"
,,10mm GlassWidth800mm to 1200mm,
1120 G,JSE-CHR-120G1216H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"34,730"
,,10mm GlassWidth1201mm to 1600mm,
1120 G,JSE-CHR-120G1618H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"38,030"
,,10mm GlassWidth1601mm to 2000mm,
1130 G,JSE-CHR-130G1216H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"33,720"
,,Width1200mm to 1600mm,
1130 G,JSE-CHR-130G1620H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"38,170"
,,Width1601mm to 2000mm,
1130 G,JSE-CHR-130G2024H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"42,590"
,,Width2001mm to 2400mm,
1130 G,JSE-CHR-130G2428H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"46,140"
,,Width2401mm to 2800mm,
1130 G,JSE-CHR-130G1216H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"42,750"
,,Width1200mm to 1600mm,
1130 G,JSE-CHR-130G1620H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"47,490"
,,Width1601mm to 2000mm,
1130 G,JSE-CHR-130G2024H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"52,040"
,,Width2001mm to 2400mm,
1130 G,JSE-CHR-130G2428H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 10mm Glass-,"55,510"
,,Width2401mm to 2800mm,
1140 G,JSE-CHR-140G1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"38,970"
,,GlassWidth1601mm to 2000mm,
1140 G,JSE-CHR-140G2224H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"42,900"
,,GlassWidth2001mm to 2400mm,
1140 G,JSE-CHR-140G2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"46,990"
,,GlassWidth2401mm to 2800mm,
1140 G,JSE-CHR-140G2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"51,630"
,,GlassWidth2801mm to 3200mm,
1140 G,JSE-CHR-140G1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"48,600"
,,GlassWidth1601mm to 2000mm,
1140 G,JSE-CHR-140G2224H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"52,210"
,,GlassWidth2001mm to 2400mm,
1140 G,JSE-CHR-140G2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"56,810"
,,GlassWidth2401mm to 2800mm,
1140 G,JSE-CHR-140G2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 10mm,"61,660"
,,GlassWidth2801mm to 3200mm,
