PART CODE,Description,NRP
ALI-CHR-85227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,370"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
ALI-CHR-85121K,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","38,950"
,& Shower Hose (Compatible with ALD-121),
ALI-CHR-85213B,Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"6,620"
ALI-CHR-85001,Pillar Cock,"2,300"
ALI-CHR-85021,Pillar Cock with 135mm Extension Body,"3,490"
ALI-CHR-85441K,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve of Wall Flange","2,310"
,(with Seals) & Basin Spout (Compatible with ALD-441),
ALI-CHR-85037,Bib Cock with Wall Flange,"1,980"
ALI-CHR-85041,2 Way Bib Cock with Wall Flange,"2,240"
ALI-CHR-85053,Angular Stop Cock with Wall Flange,"1,380"
ALI-CHR-85083K,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",820
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
