Model No.,Product Code,Product Description,NRP
1830 G,JSE-CHR-830G1620H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"30,140"
,,Width1601mm to 2000mm,
1830 G,JSE-CHR-830G2024H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"35,430"
,,Width2001mm to 2400mm,
1830 G,JSE-CHR-830G2428H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"38,560"
,,Width2401mm to 2800mm,
1830 G,JSE-CHR-830G1216H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"33,750"
,,Width1200mm to 1600mm,
1830 G,JSE-CHR-830G1620H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"37,100"
,,Width1601mm to 2000mm,
1830 G,JSE-CHR-830G2024H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"41,940"
,,Width2001mm to 2400mm,
1830 G,JSE-CHR-830G2428H22X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"45,910"
,,Width2401mm to 2800mm,
1840 G,JSE-CHR-840G1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"31,940"
,,GlassWidth1600mm to 2000mm,
1840 G,JSE-CHR-840G2224H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"36,100"
,,GlassWidth2001mm to 2400mm,
1840 G,JSE-CHR-840G2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"39,690"
,,GlassWidth2401mm to 2800mm,
1840 G,JSE-CHR-840G2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"44,050"
,,GlassWidth2801mm to 3200mm,
1840 G,JSE-CHR-840G1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"36,250"
,,GlassWidth1600mm to 2000mm,
1840 G,JSE-CHR-840G2224H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"40,800"
,,GlassWidth2001mm to 2400mm,
1840 G,JSE-CHR-840G2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"44,510"
,,GlassWidth2401mm to 2800mm,
1840 G,JSE-CHR-840G2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel - 8mm,"48,790"
,,GlassWidth2801mm to 3200mm,
1840 W,JSE-CHR-840W1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"32,250"
,,Width1600mm to 2000mm,
1840 W,JSE-CHR-840W2024H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"36,240"
,,Width2001mm to 2400mm,
1840 W,JSE-CHR-840W2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"39,670"
,,Width2401mm to 2800mm,
1840 W,JSE-CHR-840W2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"44,040"
,,Width2801mm to 3200mm,
1840 W,JSE-CHR-840W1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"38,320"
,,Width1600mm to 2000mm,
1840 W,JSE-CHR-840W2024H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"42,910"
,,Width2001mm to 2400mm,
1840 W,JSE-CHR-840W2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"46,620"
,,Width2401mm to 2800mm,
1840 W,JSE-CHR-840W2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 8mm Glass-,"51,320"
,,Width2801mm to 3200mm,
1840 L,JSE-CHR-840L1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"32,620"
,,GlassWidth1600mm to 2000mm,
1840 L,JSE-CHR-840L2024H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"36,750"
,,GlassWidth2001mm to 2400mm,
1840 L,JSE-CHR-840L2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"40,040"
,,GlassWidth2401mm to 2800mm,
1840 L,JSE-CHR-840L2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"44,390"
,,GlassWidth2801mm to 3200mm,
1840 L,JSE-CHR-840L1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"39,460"
,,GlassWidth1600mm to 2000mm,
1840 L,JSE-CHR-840L2024H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"41,410"
,,GlassWidth2001mm to 2400mm,
1840 L,JSE-CHR-840L2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"44,950"
,,GlassWidth2401mm to 2800mm,
1840 L,JSE-CHR-840L2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 8mm,"48,730"
,,GlassWidth2801mm to 3200mm,
