PART CODE,Description,NRP
ORP-CHR-10011BPM,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,"3,910"
ORP-CHR-10051BPM,Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses,"5,010"
ORP-CHR-10005BPM,Single Lever Tall Boy with 150mm Extension Body Fixed Spout without Popup Waste System with 600mm Long,"5,320"
,Braided Hoses,
ORP-CHR-10233NKPM,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,380"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
ORP-CHR-10115PM,Single Lever Wall Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211N) with Connecting,"7,000"
,Legs & Wall Flanges,
ORP-CHR-10119PM,"Single Lever Wall Mixer with Provision of Hand Shower, But W/O Hand Shower","6,930"
ORP-CHR-10117PM,"Single Lever Wall Mixer with Provision For Overhead Shower with 115mm Long Bend Pipe On Upper Side,","7,740"
,Connecting Legs & Wall Flanges,
ORP-CHR-10125PM,Single Lever Wall Mixer 3-in-1 System with Provision for both Hand Shower and Overhead Shower Complete,"8,220"
,"with 115mm Long Bend Pipe, Connecting Legs & Wall Flange (without Hand & Overhead Shower)",
ORP-CHR-10149PM,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"4,150"
ORP-CHR-10783KPM,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,350"
ORP-CHR-10065NKPM,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,450"
,(Compatible with Item ALD-065N),
ORP-CHR-10079NKPM,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,780"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
ORP-CHR-10193KPM,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","1,570"
,For Item ALD-193),
ORP-CHR-10227KPM,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,280"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
ORP-CHR-10121KPM,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","37,140"
,& Shower Hose (Compatible with ALD-121),
ORP-CHR-10173BPM,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,"3,680"
ORP-CHR-10213BPM,Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"5,010"
ORP-CHR-10001PM,Pillar Cock,"1,920"
ORP-CHR-10021PM,Pillar Cock with 200mm Extension Body,"2,650"
ORP-CHR-10433PM,Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"4,670"
ORP-CHR-10441KPM,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve of Wall Flange","1,870"
,(with Seals) & Basin Spout (Compatible with ALD-441),
ORP-CHR-10037PM,Bib Cock with Wall Flange,"1,830"
ORP-CHR-10041PM,2 Way Bib Cock with Wall Flange,"2,050"
ORP-CHR-10053PM,Angular Stop Cock with Wall Flange,"1,060"
ORP-CHR-10083KPM,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",600
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
