PART CODE,Description,NRP
FLR-CHR-5001B,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"3,300"
FLR-CHR-5003B,Single Lever Basin Mixer (Small Spout) without Popup Waste System with 450mm Long Braided Hoses,"2,940"
FLR-CHR-5025B,Single Lever Mini Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"3,710"
FLR-CHR-5051B,Single Lever Basin Mixer with Popup Waste System & 450mm Long Braided Hoses,"4,000"
FLR-CHR-5063B,Single Lever Basin Mixer (Small Spout) with Popup Waste System with 450mm Long Braided Hoses,"3,630"
FLR-CHR-5005NB,Single Lever Tall Boy with 150mm Extension Body Fixed Spout without Popup Waste System with 600mm Long,"4,560"
,Braided Hoses,
FLR-CHR-5231NK,"Exposed Parts kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve,","2,390"
,"Nipple, Spout & Two Wall Flanges (Compatible with ALD-233NPSO & ALD-235NPSO)",
FLR-CHR-5233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","2,880"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
FLR-CHR-5119,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","4,630"
FLR-CHR-5123,"Single Lever Bath & Shower Mixer (High Flow) (Wall Mounted Model) with Provision of Hand Shower, But without","5,670"
,Hand Shower,
FLR-CHR-5143,"Single Lever Wall Mixer with Provision for Overhead Shower with 150 X 150mm Long Bend Pipe on Lower Side,","5,500"
,Connecting Legs & Wall Flanges,
FLR-CHR-5145,Single Lever Exposed Shower Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211NH &,"4,630"
,SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,
FLR-CHR-5147,Single Lever Exposed Shower Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211N) with,"3,830"
,Connecting Legs & Wall Flanges,
FLR-CHR-5149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"3,490"
FLR-CHR-5135,Single Lever High Flow Bath Filler (Concealed Body) Wall Mounted Model with Bath Spout (Composite One Piece Body),"6,670"
FLR-CHR-5137,Single Lever High Flow Bath & Shower Mixer (Concealed Body) Wall Mounted Model with Button Spout (Composite One,"7,170"
,Piece Body),
FLR-CHR-5783K,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,090"
FLR-CHR-5065NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,150"
,(Compatible with Item ALD-065N),
FLR-CHR-5075K,"Single Lever Exposed Parts Kit of Divertor Consisting of Operating Lever, Wall Flange (with Seals) & Button Only (Suitable","1,140"
,for Item ALD-075),
FLR-CHR-5079NK,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with","1,750"
,"Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
FLR-CHR-5193K,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable for Item","1,580"
,ALD-193),
FLR-CHR-5139,Single Lever Concealed Shower Mixer for Connection To Overhead Shower only,"3,530"
