Product Code,Description,NRP
WSP-SLV-SPA3S2060VX,"Jaquar neon spa 206x169x82cm wt pnls natural wood fs ,cover,stair(3s)","9,33,000"
WSP-SLV-SPA4S449VX,"Jaquar aquagym max swim spa 449x231x130cm wt pnls natural wood fs ,cover,stair(4s)","23,20,000"
WSP-SLV-SPA5S1990VX,"Jaquar mercury spa 200x200x93cm wt pnls natural wood fs ,cover,stair(5s)","9,36,000"
WSP-SLV-SPA7S2340VX,"Jaquar xenon spa 234x234x92cm wt pnls natural wood fs ,cover,stair(6s)","10,00,000"
WSP-SLV-SPA8S3520VX,"Jaquar palladium spa 352x229x92cm wt pnls natural wood fs ,cover,stair(9s)","16,50,000"
WSP-SLV-SPAFISHER,Jaquar fisher 2 spa 165 x 165 x 74 cm (2 seater ),"6,56,000"
WSP-SLV-SPANF2001X,Jaquar gemini spa 210x110x74cm wt oz&nw pnls,"6,00,000"
WSP-SLV-SPANIRWANA,Jaquar nirvana spa 215 x 92 cm (5 seater ),"9,00,000"
WSP-WHT-SPA5S590VX,Jaquar hydrozone swim spa 590x230x130cm five seater,"29,00,000"
WSP-SLV-AQUASWIM13TP,"Jaquar aqua swim top 449x230x130cm with swim jets, chromotherapy & uv filtration system","14,91,000"
WSP-SLV-SPAAVANTE,Jaquar avante top  spa 187x128x74cm two seater,"7,18,000"
WSP-SLV-AQUASWMHCVR,Jaquar aquaswim spa hard cover,"1,09,000"
JSP-WHT-SPANUOVO2S,"Jaquar Nuovo Spa 1950X1400x750 Mm,2 Seater, Shell Color-Stunning White  With Bluetooth,","7,55,000"
,"Uv,Led,Aromatherapy,Panels Color-Dark Grey And Thermic Cover Color- Black",
JSP-WHT-SPABREVA5S,"Jaquar Breva Spa 2000X2000x900 Mm,5 Seater  Shell Color-Pearl Blend  With Bluetooth,","9,45,000"
,"Uv,Led,Aromatherapy,Panels Color-Coffe Brown And Thermic Cover Color- Dark Brown",
JSP-WHT-SPAPOLARIS6S,,"10,90,000"
