Model No.,Product Code,Product Description,NRP
1140 W,JSE-CHR-140W1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"39,080"
,,Width1601mm to 2000mm,
1140 W,JSE-CHR-140W2024H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"42,100"
,,Width2001mm to 2400mm,
1140 W,JSE-CHR-140W2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"46,350"
,,Width2401mm to 2800mm,
1140 W,JSE-CHR-140W2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"50,940"
,,Width2801mm to 3200mm,
1140 W,JSE-CHR-140W1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"47,650"
,,Width1601mm to 2000mm,
1140 W,JSE-CHR-140W2024H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"50,960"
,,Width2001mm to 2400mm,
1140 W,JSE-CHR-140W2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"55,570"
,,Width2401mm to 2800mm,
1140 W,JSE-CHR-140W2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall - 10mm Glass-,"60,390"
,,Width2801mm to 3200mm,
1140 L,JSE-CHR-140L1620H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"40,250"
,,GlassWidth1601mm to 2000mm,
1140 L,JSE-CHR-140L2024H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"43,440"
,,GlassWidth2001mm to 2400mm,
1140 L,JSE-CHR-140L2428H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"47,500"
,,GlassWidth2401mm to 2800mm,
1140 L,JSE-CHR-140L2832H19X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"52,090"
,,GlassWidth2801mm to 3200mm,
1140 L,JSE-CHR-140L1620H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"44,720"
,,GlassWidth1601mm to 2000mm,
1140 L,JSE-CHR-140L2024H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"48,070"
,,GlassWidth2001mm to 2400mm,
1140 L,JSE-CHR-140L2428H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"51,920"
,,GlassWidth2401mm to 2800mm,
1140 L,JSE-CHR-140L2832H22X,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel - 10mm,"56,280"
,,GlassWidth2801mm to 3200mm,
1140 U,JSE-CHR-140U1620H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"40,440"
,,10mm GlassWidth1601mm to 2000mm,
1140 U,JSE-CHR-140U2024H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"44,540"
,,10mm GlassWidth2001mm to 2400mm,
1140 U,JSE-CHR-140U2428H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"48,290"
,,10mm GlassWidth2401mm to 2800mm,
1140 U,JSE-CHR-140U2832H19X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"53,560"
,,10mm GlassWidth2801mm to 3200mm,
1140 U,JSE-CHR-140U1620H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"51,490"
,,10mm GlassWidth1601mm to 2000mm,
1140 U,JSE-CHR-140U2024H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"53,990"
,,10mm GlassWidth2001mm to 2400mm,
1140 U,JSE-CHR-140U2428H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"58,090"
,,10mm GlassWidth2401mm to 2800mm,
1140 U,JSE-CHR-140U2832H22X,U shaped shower enclosure with 2 fixed glass at sides and 1 openable door in front -,"63,600"
,,10mm GlassWidth2801mm to 3200mm,
1140 P,JSE-CHR-140P1620H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"40,050"
,,glassWidth1601mm to 2000mm,
1140 P,JSE-CHR-140P2024H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"44,290"
,,glassWidth2001mm to 2400mm,
1140 P,JSE-CHR-140P2428H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"48,500"
,,glassWidth2401mm to 2800mm,
1140 P,JSE-CHR-140P2832H19X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"52,770"
,,glassWidth2801mm to 3200mm,
1140 P,JSE-CHR-140P1620H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"48,670"
,,glassWidth1601mm to 2000mm,
1140 P,JSE-CHR-140P2024H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"53,230"
,,glassWidth2001mm to 2400mm,
