Present Codes,Description,NRP
JDS-BLM-25911,"Thin Rim Table Top Basin In Black Matt, Size: 420x420x150 mm, Shape - Square","6,975"
JDS-BLM-25907N,"Thin Rim Table Top Basin In Black Matt, Size: 530x420x140 mm, Shape - Rectangular","7,650"
JDS-WHM-25907N,"Thin Rim Table Top Basin In White Matt, Size: 530x420x140 mm, Shape - Rectangular","7,650"
JDS-WHM-25911,"Thin Rim Table Top Basin In White Matt, Size: 420x420x150 mm, Shape - Square","6,975"
JDS-WHT-25501,"Semi Recessed Basin, Size: 520x430x170 mm","8,250"
JDS-WHT-25503,"Semi Recessed Basin, Size: 510x450x175 mm","6,400"
JDS-WHT-25801,"""Table Top Basin, Size: 460x265x110 mm""","3,950"
JDS-WHT-25841,"Wall Hung Corner Basin With Fixing Accessories, Size: 315x450x175 mm","5,250"
JDS-WHT-25901,"""Table Top Basin, Size: 640x425x155 mm""","4,640"
JDS-WHT-25903,"""Table Top Basin, Size: 480x470x195 mm""","4,210"
JDS-WHT-25905,"""Table Top Basin, Size: 450x450x170  mm""","7,300"
JDS-WHT-25907N,"Thin Rim Table Top Basin, Size: 530x420x140 mm, Shape - Rectangular","5,930"
JDS-WHT-25909,"Thin Rim Table Top Basin, Size: 495x395x150 mm, Shape - Rectangular","3,890"
JDS-WHT-25911,"Thin Rim Table Top Basin, Size: 420x420x150 mm, Shape - Square","5,380"
JDS-WHT-25931,"Table Top Basin, Size: 595x445x135 mm","10,000"
JDS-WHT-25935,"""Table Top Basin, Size: 460x460x170 mm""","3,780"
JDS-WHT-25937,"Thin Rim Table Top Basin, Size: 500x380x120 mm, Shape - Oval","6,850"
JDS-WHT-25939,"Thin Rim Table Top Basin, Size: 455x455x110 mm, Shape - Round","6,050"
JDS-WHT-25943,"""Table Top Basin Size: 640x500x130 mm""","8,500"
