Product Code,Description,NRP
JPL-BLK-G0842JAX,SWR PNL Jaq Infinity1500x200mm MDL G084-2JA,"33,000"
JPL-BLK-JA011,SWR PNL Jaq Black 1500x200mm WT BTN SPT,"44,000"
JPL-BLK-ST86112,Jaquar Glassy- Black SWR PNL JAQ Black Tempered Glass with Special Surface 1400x250mm,"40,000"
JPL-SSF-ST88158B,Jaquar Selfy-SWR PNL JAQ Anti Finger Print with Stainless Steel Finish 1600x200mm,"40,000"
JPL-SSF-ST8858B3,SWR PNL Jaq Anti Finger Print Stainless Steel Finish 1400x200mm,"21,000"
JPL-SSF-ST8896,Jaquar Shinny-SWR PNL JAQ Chrome Plated with Stainless Steel Finish 1600x200mm,"41,000"
JPL-WHT-G0843JAX,SWR PNL JAQ Infinity1500x200mm MDL G084-3JA,"34,000"
JPL-WHT-ST86113,Jaquar Glassy- White- SWR PNL JAQ white Tempered Glass with Special Surface 1400x250mm,"40,000"
JPL-WHT-TMCURVENEO,Jaquar Curve Neo Shower Panel white Matt 1500x230mm,"40,000"
JPL-SSF-SPMYHOME,Jaquar My Home Shower Panel 1450x175x60mm SS Mirror Finish,"14,900"
JPL-SSF-SPMYHOMEP,My Home Shower Panel Project 1450x175x60mm SS Mirror Finish,"13,600"
JPL-SSF-SPMYHOMEHS,My Home Shower Panel with Button Spout & handshower 1450x175x60mm ss mirror finish,"13,100"
JPL-SLV-GA031,,
JPL-CHR-G2017B001,,
