PART CODE,Description,NRP
ARI-CHR-39001B,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,"4,060"
ARI-CHR-39051B,Single Lever Basin Mixer with Popup Waste & 450mm Long Braided Hoses,"4,760"
ARI-CHR-39005B,Single Lever Tall Boy with 150mm Extension Body & 600mm Long Braided Hoses,"5,060"
ARI-CHR-39233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,400"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
ARI-CHR-39119,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","5,140"
ARI-CHR-39145,Single Lever Exposed Shower Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211NH &,"4,840"
,SHA-1213) & Hand Shower  with Connecting Legs & Wall Flanges,
ARI-CHR-39147,Single Lever Exposed Shower Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211N) with,"3,980"
,Connecting Legs & Wall Flanges,
ARI-CHR-39149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"3,710"
ARI-CHR-39783K,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,210"
ARI-CHR-39065NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,250"
,(Compatible with Item ALD-065N),
