Model No.,Product Code,Product Description,NRP
1140 P,JSE-CHR-140P2428H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"57,190"
,,glassWidth2401mm to 2800mm,
1140 P,JSE-CHR-140P2832H22X,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door - 10mm,"61,430"
,,glassWidth2801mm to 3200mm,
1140-F,JSE-CHR-140F0812H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"24,360"
,,Width 800mm to 1200mm,
1140-F,JSE-CHR-140F1216H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"27,970"
,,Width 1201mm to 1600mm,
1140-F,JSE-CHR-140F1620H19X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"31,540"
,,Width 1601mm to 2000mm,
1140-F,JSE-CHR-140F0812H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"29,030"
,,Width 800mm to 1200mm,
1140-F,JSE-CHR-140F1216H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"32,910"
,,Width 1201mm to 1600mm,
1140-F,JSE-CHR-140F1620H22X,Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall  10mm Glass-,"36,760"
,,Width 1601mm to 2000mm,
1150 C,JSE-CHR-115C2832H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"62,270"
,,door in between - 10mm GlassWidth2800mm to 3200mm,
1150 C,JSE-CHR-115C3236H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"65,260"
,,door in between - 10mm GlassWidth3201mm to 3600mm,
1150 C,JSE-CHR-115C3640H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"67,960"
,,door in between - 10mm GlassWidth3601mm to 4000mm,
1150 C,JSE-CHR-115C2832H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"77,890"
,,door in between - 10mm GlassWidth2800mm to 3200mm,
1150 C,JSE-CHR-115C3236H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"80,910"
,,door in between - 10mm GlassWidth3201mm to 3600mm,
1150 C,JSE-CHR-115C3640H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"84,480"
,,door in between - 10mm GlassWidth3601mm to 4000mm,
1160 T,JSE-CHR-116T3034H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"55,580"
,,front fixed with the common glass - 10 mm GlassWidth3000mm to 3400mm,
1160 T,JSE-CHR-116T3438H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"58,450"
,,front fixed with the common glass - 10 mm GlassWidth3401mm to 3800mm,
1160 T,JSE-CHR-116T3842H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"61,520"
,,front fixed with the common glass - 10 mm GlassWidth3801mm to 4200mm,
1160 T,JSE-CHR-116T3034H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"67,390"
,,front fixed with the common glass - 10 mm GlassWidth3000mm to 3400mm,
1160 T,JSE-CHR-116T3438H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"70,590"
,,front fixed with the common glass - 10 mm GlassWidth3401mm to 3800mm,
1160 T,JSE-CHR-116T3842H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"73,390"
,,front fixed with the common glass - 10 mm GlassWidth3801mm to 4200mm,
