AHS-CHR-1501,Grab Bar ( Stainless Steel) 300mm Long,"1,290"
AHS-CHR-1503,Grab Bar (Stainless Steel )  450mm Long,"1,500"
AHS-CHR-1507,Grab Bar (Stainless Steel) 600mm Long,"1,630"
AHS-CHR-1531,Soap Dish Recessed Type (Stainless Steel),840
AHS-CHR-1551,Toilet Paper Holder Recessed Type (Stainless Steel),"1,210"
AHS-CHR-1553,Paper Holder with Flap Recessed Type (Stainless Steel),"1,500"
AHS-CHR-1565,Cloth Liner Retractable (Stainless Steel),"1,120"
AHS-CHR-1581,Towel Rack with Lower Hanger (Stainless Steel),"3,460"
AHS-CHR-1581H,Towel Rack with Lower Hanger (Stainless Steel) with Hooks,"3,990"
