Model No.,Product Code,Product Description,NRP
R 1820 G,JSE-CHR-R820G1620L,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"44,500"
,,"glass, left version - 8mm GlassWidth1601mm to 2000mm",
R 1820 G,JSE-CHR-R820G0812R,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"39,310"
,,"glass, right version - 8mm GlassWidth800mm to 1200mm",
R 1820 G,JSE-CHR-R820G1216R,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"41,860"
,,"glass, right version - 8mm GlassWidth1201mm to 1600mm",
R 1820 G,JSE-CHR-R820G1620R,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"44,500"
,,"glass, right version - 8mm GlassWidth1601mm to 2000mm",
R 1830 G,JSE-CHR-R830G1216L,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, left ver-","50,580"
,,sion- 8mm GlassWidth1600mm to 2000mm,
R 1830 G,JSE-CHR-R830G1620L,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, left ver-","52,770"
,,sion- 8mm GlassWidth1601mm to 2000mm,
R 1830 G,JSE-CHR-R830G2024L,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, left ver-","56,840"
,,sion- 8mm GlassWidth2001mm to 2400mm,
R 1830 G,JSE-CHR-R830G2428L,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, left ver-","59,180"
,,sion- 8mm GlassWidth2401mm to 2800mm,
R 1830 G,JSE-CHR-R830G1216R,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, right ver-","50,580"
,,sion- 8mm GlassWidth1600mm to 2000mm,
R 1830 G,JSE-CHR-R830G1620R,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, right ver-","52,770"
,,sion- 8mm GlassWidth1601mm to 2000mm,
R 1830 G,JSE-CHR-R830G2024R,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, right ver-","56,840"
,,sion- 8mm GlassWidth2001mm to 2400mm,
R 1830 G,JSE-CHR-R830G2428R,"Ritz Collection - Wall to wall enclosure with 2 fixed glass and 1 openable door in between, right ver-","59,180"
,,sion- 8mm GlassWidth2401mm to 2800mm,
R 1840 G,JSE-CHR-R840G1620L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, left","56,750"
,,version - 8mm GlassWidth1600mm to 2000mm,
R 1840 G,JSE-CHR-R840G2024L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, left","59,510"
,,version - 8mm GlassWidth2001mm to 2400mm,
R 1840 G,JSE-CHR-R840G2428L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, left","62,070"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 G,JSE-CHR-R840G2832L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, left","64,810"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1840 G,JSE-CHR-R840G1620R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, right","56,750"
,,version - 8mm GlassWidth1600-2000,
R 1840 G,JSE-CHR-R840G2024R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, right","59,510"
,,version - 8mm GlassWidth2001-2400,
R 1840 G,JSE-CHR-R840G2428R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, right","62,070"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 G,JSE-CHR-R840G2832R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel, right","64,810"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1840 W,JSE-CHR-R840W1620L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with wall, Left ver-","57,610"
,,sion - 8mm GlassWidth1600mm to 2000mm,
R 1840 W,JSE-CHR-R840W2024L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with wall, Left ver-","60,000"
,,sion - 8mm GlassWidth2001mm to 2400mm,
R 1840 W,JSE-CHR-R840W2428L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with wall, Left ver-","62,790"
