PART CODE,Description,NRP
QQT-CHR-7011,Pillar Cock,"2,150"
QQT-CHR-7167B,Central Hole Basin Mixer with Regular Spout without Popup Waste System with 450mm Long Braided Hoses,"4,890"
QQT-CHR-7169B,Central Hole Basin Mixer with Regular Spout with Popup Waste System with 450mm Long Braided Hoses,"5,940"
QQT-CHR-7189,3-Hole Basin Mixer without Popup Waste System,"6,000"
QQT-CHR-7191,3-Hole Basin Mixer with Popup Waste System,"6,990"
QQT-CHR-7217,"Wall Mixer with Telephone Shower Arrangement, Connecting Legs & Wall Flanges but without Crutch &","6,090"
,Telephone Shower,
QQT-CHR-7267,"Wall Mixer with Connector for Hand Shower arrangement with Connecting Legs, Wall Flanges & Wall Bracket for","6,530"
,Hand Shower,
QQT-CHR-7273UPR,"Wall Mixer with Provision For Overhead Shower with 115mm Long Bend Pipe On Upper Side, Connecting Legs","6,650"
,& Wall Flanges,
QQT-CHR-7281,Wall Mixer 3-in-1 System with Provision for both Hand Shower and Overhead Shower Complete with 115mm,"7,140"
,"Long Bend Pipe, Connecting Legs & Wall Flange (without Hand & Overhead Shower)",
QQT-CHR-7215,Exposed Wall Mixer with Provision Only for Overhead Shower & Hand Shower with Connecting Legs & Wall,"5,210"
,Flanges,
QQT-CHR-7209,Shower Mixer for Shower Cubicles (Wall Mounted) with Connecting Legs & Flanges,"4,290"
