Product Code,Description,NRP
AKP-CHR-35701PS,"Grab Bar 300mm Long, Stainless Steel","1,780"
AKP-CHR-35711PS,"Single Towel Rail 600mm Long, Stainless Steel","2,240"
AKP-CHR-35715PS,"Swivel Towel Holder Twin Type, Stainless Steel","1,730"
AKP-CHR-35721P,Towel Ring Square,"1,860"
AKP-CHR-35731P,Soap Dish Holder,960
AKP-CHR-35735P,Soap Dispenser with Glass bottle,"1,660"
AKP-CHR-35741P,Tumbler Holder,980
AKP-CHR-35771P,Glass Shelf 600mm Long,"1,620"
AKP-CHR-35743P,W.C. Brush Holder,"2,170"
AKP-CHR-35751P,Toilet Roll Holder,"1,100"
AKP-CHR-35753PS,Toilet Roll Holder with Stainless Steel Flap,"1,590"
AKP-CHR-35755PS,"Spare Toilet Roll holder, Stainless Steel",940
AKP-CHR-35761P,Double Coat Hook,770
AKP-CHR-35791P,Robe Hook,580
AKP-CHR-35781PS,"Towel Rack 600mm long with Lower Hangers, Stainless Steel","3,660"
AKP-CHR-35781PFS,"Towel Rack 600mm long without Lower hangers, Stainless Steel","2,890"
AKP-CHR-35795,Swivel Mirror 630 X 445mm Rectangular Shape,"3,220"
