Model No.,Product Code,Product Description,NRP
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1200SX,Optima Sliding Dr 8mm Rt. 1200mm X 2000m,"22,930"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1250SX,Optima Sliding Dr 8mm Rt. 1250mm X 2000m,"23,180"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1300SX,Optima Sliding Dr 8mm Rt. 1300mm X 2000m,"23,440"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1350SX,Optima Sliding Dr 8mm Rt. 1350mm X 2000m,"23,720"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1400SX,Optima Sliding Dr 8mm Rt. 1400mm X 2000m,"24,160"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1450SX,Optima Sliding Dr 8mm Rt. 1450mm X 2000m,"24,430"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1500SX,Optima Sliding Dr 8mm Rt. 1500mm X 2000m,"24,690"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1550SX,Optima Sliding Dr 8mm Rt. 1550mm X 2000m,"24,950"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1600SX,Optima Sliding Dr 8mm Rt. 1600mm X 2000m,"25,220"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1650SX,Optima Sliding Dr 8mm Rt. 1650mm X 2000m,"25,480"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1700SX,Optima Sliding Dr 8mm Rt. 1700mm X 2000m,"25,920"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1750SX,Optima Sliding Dr 8mm Rt. 1750mm X 2000m,"26,190"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1800SX,Optima Sliding Dr 8mm Rt. 1800mm X 2000m,"26,450"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1850SX,Optima Sliding Dr 8mm Rt. 1850mm X 2000m,"26,720"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1900SX,Optima Sliding Dr 8mm Rt. 1900mm X 2000m,"26,980"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1950SX,Optima Sliding Dr 8mm Rt. 1950mm X 2000m,"27,260"
OPTIMA (Right Ver.),JSE-CHR-OPTSDR2000SX,Optima Sliding Dr 8mm Rt. 2000mm X 2000m,"27,700"
