Model No.,Product Code,Product Description,NRP
A830G STD.,JSE-CHR-A830G1200H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"36,470"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1200MM,
A830G STD.,JSE-CHR-A830G1300H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"37,030"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1300MM,
A830G STD.,JSE-CHR-A830G1400H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"37,560"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1400MM,
A830G STD.,JSE-CHR-A830G1500H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"38,130"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1500MM,
A830G STD.,JSE-CHR-A830G1600H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"38,680"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1600MM,
A830G STD.,JSE-CHR-A830G1700H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"39,230"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1700MM,
A830G STD.,JSE-CHR-A830G1800H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"39,790"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1800MM,
A830G STD.,JSE-CHR-A830G1900H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"40,340"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 1900MM,
A830G STD.,JSE-CHR-A830G2000H20X,WALL TO WALL ENCLOSURE WITH 2 FIXED GLASS AND 1 OPENABLE DOOR IN,"40,890"
,,BETWEEN IN STANDARD DIMENSION- 8MM GLASSWIDTH 2000MM,
