Model No.,Product Code,Product Description,NRP
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1015X,"Wall to wall enclosure with one fixed glass and one sliding door, right Version -","26,250"
,,8mm GlassWidth 1000mm to 1500mm,
OPTIMA (Right Ver.),JSE-CHR-OPTSDR1520X,"Wall to wall enclosure with one fixed glass and one sliding door, right Version -","29,420"
,,8mm GlassWidth 1501mm to 2000mm,
OPTIMA (Left Ver.),JSE-CHR-OPTSDL1015X,"Wall to wall enclosure with one fixed glass and one sliding door, left version -","26,250"
,,8mm GlassWidth 1000mm to 1500mm,
OPTIMA (Left Ver.),JSE-CHR-OPTSDL1520X,"Wall to wall enclosure with one fixed glass and one sliding door, left version -","29,420"
,,8mm GlassWidth 1501mm to 2000mm,
Optima - Towel Rod (Right Ver.),JSE-CHR-OPTSDR1015TR,Wall to wall enclosure with one fixed glass and one sliding door with a Towel,"28,480"
,,"Rod fixed on the fixed glass , right Version - 8mm GlassWidth 1000mm to",
,,1500mm,
Optima - Towel Rod (Right Ver.),JSE-CHR-OPTSDR1520TR,Wall to wall enclosure with one fixed glass and one sliding door with a Towel,"31,790"
,,"Rod fixed on the fixed glass, right Version - 8mm GlassWidth 1501mm to",
,,2000mm,
Optima - Towel Rod  (Left Ver.),JSE-CHR-OPTSDL1015TR,Wall to wall enclosure with one fixed glass and one sliding door with a Towel,"28,480"
,,"Rod fixed on the fixed glass, left version - 8mm GlassWidth 1000mm to",
,,1500mm,
Optima - Towel Rod  (Left Ver.),JSE-CHR-OPTSDL1520TR,Wall to wall enclosure with one fixed glass and one sliding door with a Towel,"31,790"
,,"Rod fixed on the fixed glass, left version - 8mm GlassWidth 1501mm to",
,,2000mm,
Optima 3 Part (Right Ver.),JSE-CHR-3POPTSDR1215,"Wall to wall enclosure with 2 fixed glass and 1 sliding  door in between, Right","29,580"
,,version - 8mm GlassWidth1200mm to 1500 mm,
Optima 3 Part (Right Ver.),JSE-CHR-3POPTSDR1520,"Wall to wall enclosure with 2 fixed glass and 1 sliding  door in between, Right","32,770"
,,version - 8mm GlassWidth1501mm to 2000 mm,
Optima 3 Part (Left Ver.),JSE-CHR-3POPTSDL1215,"Wall to wall enclosure with 2 fixed glass and 1 sliding  door in between, Left","29,580"
,,version - 8mm GlassWidth1200mm to 1500 mm,
Optima 3 Part (Left Ver.),JSE-CHR-3POPTSDL1520,"Wall to wall enclosure with 2 fixed glass and 1 sliding  door in between, Left","32,770"
,,version - 8mm GlassWidth1501mm to 2000 mm,
Optima  2D,JSE-CHR-OPT2D1015X,Wall to wall enclosure with 2 fixed glass and 2 sliding  door in between  8mm,"32,340"
,,GlassWidth1000mm to 1500 mm,
Optima  2D,JSE-CHR-OPT2D1520X,Wall to wall enclosure with 2 fixed glass and 2 sliding  door in between  8mm,"35,240"
,,GlassWidth1501mm to 2000 mm,
Optima - Black Matt  (Right,JSE-BLM-OPTSDR1015X,"Wall to wall enclosure with one fixed glass and one sliding door, right Version","28,290"
Ver.),,Black Matt Finish - 8mm GlassWidth 1000mm to 1500mm,
Optima - Black Matt  (Right,JSE-BLM-OPTSDR1520X,"Wall to wall enclosure with one fixed glass and one sliding door, right Version","31,390"
Ver.),,Black Matt Finish - 8mm GlassWidth 1501mm to 2000mm,
Optima - Black Matt  (Left Ver.),JSE-BLM-OPTSDL1015X,"Wall to wall enclosure with one fixed glass and one sliding door, Left Version","28,290"
,,Black Matt Finish - 8mm GlassWidth 1000mm to 1500mm,
Optima - Black Matt  (Left Ver.),JSE-BLM-OPTSDL1520X,"Wall to wall enclosure with one fixed glass and one sliding door, Left Version","31,390"
,,Black Matt Finish - 8mm GlassWidth 1501mm to 2000mm,
Stella (Right Ver.),JSE-CHR-STLSDR1015X,"Wall to wall enclosure with one fixed glass and one sliding door, right version -","25,880"
,,8mm GlassWidth1000mm to 1500mm,
Stella (Right Ver.),JSE-CHR-STLSDR1518X,"Wall to wall enclosure with one fixed glass and one sliding door, right version -","28,590"
,,8mm GlassWidth1501mm to 1800mm,
Stella (Left Ver.),JSE-CHR-STLSDL1015X,"Wall to wall enclosure with one fixed glass and one sliding door, left version -","25,880"
,,8mm GlassWidth1000mm to 1500mm,
Stella (Left Ver.),JSE-CHR-STLSDL1518X,"Wall to wall enclosure with one fixed glass and one sliding door, left version -","28,590"
,,8mm GlassWidth1501mm to 1800mm,
