Product Code,Description,NRP
JWA-CHR-132201,"Drain Pipe 80cm with Overflow & Filler for Kubix, Alive, Fonte, Vignette Prime, Laguna & Fusion","10,500"
JWA-CHR-132401,,XXX
JWA-B LK-HRSP120GAC06,Headrest Sophi for (Vignette/Darc) Jaquar Whirlpool,"5,500"
JWA-BLK-HRCP750GAC06,Headrest Comfort for Jaquar Whirlpool Kubix/Fonte/Alive/Fusion,"7,700"
JWA-CHR-DRNPIPE70,"Drain Pipe with Over  Flow System 70 - 80 mm for Jaquar Whirlpool 150x75, 170x75, 180x80 & 190 x90","5,000"
JWA-CHR-DRNPIPE80,"Drain Pipe 80cm with Overflow for Kubix, Alive, Fonte, Vignette Prime, Laguna & Fusion","2,800"
JWA-CHR-DRNPIPE100,"Drain Pipe 100cm with Overflow for Fonte R, Kubix Prime & Darc","2,950"
IWA-CHR-ACC00510X,Base Europa Kit for Bathtubs,"4,150"
