Product Code,Description,NRP
JSA-NAW-MD3150,"Jaquar sauna150x110x210hemlok- kaya(1- 2),stove htr, temp.Gls,inside&outside touch ctl, wht lgt wt cvr,","2,05,600"
,"chromo lgt, radio, usb con., Mp3 player connector",
JSA-NAW-DLX9011,"Jaquar relaxo one sauna 90x105x190cm, 1750w-hemlock, led clr lgt,infrared heater","2,60,000"
JSA-NAW-S004175,"Jaquar sauna175x120x210hemlok-serene(2-3),stove htr, temp.Gls,inside&outside touch ctl, wht lgt wt cvr,","3,30,000"
,"chromo lgt, radio, usb con., Mp3 player connector",
JSA-NAW-T16120,"Jaquar kubix sauna 175x120x210 cm,4500w-hemlock, led clr lgt,stv htr, 2 bck rst (2-3 seater)","4,10,000"
JSA-NAW-MD3150IH,Jaquar Kaya sauna 150x110x210 cm (with infrared heater),"2,75,000"
