PART CODE,Description,NRP
QQP-CHR-7661KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer (Compatible with ALD-661),"3,790"
QQP-CHR-7681KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 2-way diverter (Compatible with ALD-681),"3,790"
QQP-CHR-7683KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 3-way diverter (Compatible with ALD-683),"3,790"
ARC-CHR-87661K,Aquamax Exposed Part Kit of Thermostatic Shower Mixer (Suitable for ALD-661),"4,010"
ARC-CHR-87681K,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 2-way diverter (Suitable for ALD-681),"4,010"
ARC-CHR-87683K,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 3-way diverter (Suitable for ALD-683),"4,010"
KUP-CHR-35661KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer (Suitable for ALD-661),"3,800"
KUP-CHR-35681KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 2-way diverter (Suitable for ALD-681),"3,800"
KUP-CHR-35683KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 3-way diverter (Suitable for ALD-683),"3,800"
OPP-CHR-15661KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer (Suitable for ALD-661),"3,270"
OPP-CHR-15681KPM,Aquamax Exposed Part Kit of Thermostatic Shower Mixer with 2-way diverter (Suitable for ALD-681),"3,270"
