Model No.,Product Code,Product Description,NRP
R 1840 L,JSE-CHR-R840L2428L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, left","64,520"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 L,JSE-CHR-R840L2832L,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, left","67,260"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1840 L,JSE-CHR-R840L1620R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, right","59,350"
,,version - 8mm GlassWidth1600mm to 2000mm,
R 1840 L,JSE-CHR-R840L2024R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, right","61,870"
,,version - 8mm GlassWidth2001mm to 2400mm,
R 1840 L,JSE-CHR-R840L2428R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, right","64,520"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 L,JSE-CHR-R840L2832R,"Ritz Collection - Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel, right","67,260"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1840 P,JSE-CHR-R840P1620L,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, left","60,100"
,,version - 8mm GlassWidth1600mm to 2000mm,
R 1840 P,JSE-CHR-R840P2024L,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, left","62,490"
,,version - 8mm GlassWidth2001mm to 2400mm,
R 1840 P,JSE-CHR-R840P2428L,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, left","65,290"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 P,JSE-CHR-R840P2832L,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, left","68,030"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1840 P,JSE-CHR-R840P1620R,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, right","60,100"
,,version - 8mm GlassWidth1600mm to 2000mm,
R 1840 P,JSE-CHR-R840P2024R,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, right","62,490"
,,version - 8mm GlassWidth2001mm to 2400mm,
R 1840 P,JSE-CHR-R840P2428R,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, right","65,290"
,,version - 8mm GlassWidth2401mm to 2800mm,
R 1840 P,JSE-CHR-R840P2832R,"Ritz Collection - Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door, right","68,030"
,,version - 8mm GlassWidth2801mm to 3200mm,
R 1850 C,JSE-CHR-R185C2832L,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"95,880"
,,"with a door in between, left version  - 8mm GlassWidth2800mm to 3200mm",
R 1850 C,JSE-CHR-R185C3236L,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"98,360"
,,"with a door in between, left version  - 8mm GlassWidth3201mm to 3600mm",
R 1850 C,JSE-CHR-R185C3640L,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"1,00,750"
,,"with a door in between, left version  - 8mm GlassWidth3201mm to 3600mm",
R 1850 C,JSE-CHR-R185C2832R,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"95,880"
,,"with a door in between, right version  - 8mm GlassWidth2800mm to 3200mm",
R 1850 C,JSE-CHR-R185C3236R,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"98,360"
,,"with a door in between, right version  - 8mm GlassWidth3201mm to 3600mm",
R 1850 C,JSE-CHR-R185C3640R,Ritz Collection - U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front,"1,00,750"
,,"with a door in between, right version  - 8mm GlassWidth3201mm to 3600mm",
R 840 F,JSE-CHR-R840F1620L,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Left Version  8mm","46,650"
,,GlassWidth 1600mm to 2000mm,
R 840 F,JSE-CHR-R840F2024L,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Left Version  8mm","49,290"
,,GlassWidth 2001mm to 2400mm,
R 840 F,JSE-CHR-R840F2428L,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Left Version  8mm","51,670"
,,GlassWidth 2401mm to 2800mm,
R 840 F,JSE-CHR-R840F2832L,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Left Version  8mm","53,860"
,,GlassWidth 2801mm to 3200mm,
R 840 F,JSE-CHR-R840F1620R,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Right Version  8mm","46,650"
,,GlassWidth 1600mm to 2000mm,
R 840 F,JSE-CHR-R840F2024R,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Right Version  8mm","49,290"
,,GlassWidth 2001mm to 2400mm,
R 840 F,JSE-CHR-R840F2428R,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Right Version  8mm","51,670"
,,GlassWidth 2401mm to 2800mm,
R 840 F,JSE-CHR-R840F2832R,"Corner enclosure with 1 fixed glass and 1 openable door fixed with the wall, Right Version  8mm","53,860"
,,GlassWidth 2801mm to 3200mm,
