Product Code,Description,NRP
JSG-BLK-PIUVAP5000ST,Jaquar smart 4.5 Kw  vapour steam stool black matt with chromotherapy,"1,62,000"
JSG-WHT-NMID40,Jaquar steam generator without digital control panel- 4 kw,"83,000"
JSG-WHT-NMID60,Jaquar steam generator without digital control panel- 6 kw,"87,000"
JSG-WHT-NMID90,Jaquar steam generator without digital control panel- 9 kw,"98,000"
JSG-WHT-NMID120,Jaquar steam generator without digital control panel- 12 kw,"1,10,000"
JSG-WHT-NMID150,Jaquar steam generator without digital control panel- 15 kw,"1,19,000"
JSG-WHT-NMID180,Jaquar steam generator without digital control panel- 18 kw,"1,60,000"
JSG-WHT-NMID225,Jaquar steam generator without digital control panel- 22.5 Kw,"1,70,000"
JSG-WHT-NMID240,Jaquar steam generator without digital control panel- 24 kw,"1,95,000"
JSG-WHT-CPSQUARE,Mid control panel ea for jaquar steam generator,"19,900"
JSG-BLK-CPSQUARE,Mid control panel ea for jaquar steam generator,"19,900"
JSG-WHT-CPROUND,Mid control panel gorh for jaquar steam generator,"19,900"
JSG-BLK-CPROUND,Mid control panel gorh for jaquar steam generator,"19,900"
GSB-WHT-TU000B1H5TX,"Archimede top100x100 mfun.Stm.Bth,tmx,cht lgt (square)","2,50,000"
GSB-WHT-UM000B1H5TX,"Archimede top100x100 r.55 (Corner) multif.Manual steam bath chrome 2,7 kw thermostatic mixer chrome","2,50,000"
,"brillant profiles transparent glass, glass walls w/covering effect",
