Model No.,Product Code,Product Description,NRP
1850 C,JSE-CHR-185C3236H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"54,690"
,,door in between - 8mm GlassWidth3201mm to 3600mm,
1850 C,JSE-CHR-185C3640H19X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"57,660"
,,door in between - 8mm GlassWidth3601mm to 4000mm,
1850 C,JSE-CHR-185C2832H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"64,570"
,,door in between - 8mm GlassWidth2801mm to 3200mm,
1850 C,JSE-CHR-185C3236H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"65,960"
,,door in between - 8mm GlassWidth3201mm to 3600mm,
1850 C,JSE-CHR-185C3640H22X,U Shaped shower enclosure with 2 fixed glass at sides and 2 fixed glass in front with a,"69,270"
,,door in between - 8mm GlassWidth3601mm to 4000mm,
1860 T,JSE-CHR-186T303419X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"51,830"
,,front fixed with the common glass - 8mm GlassWidth3000mm to 3400mm,
1860 T,JSE-CHR-186T3438H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"54,280"
,,front fixed with the common glass - 8mm GlassWidth3401mm to 3800mm,
1860 T,JSE-CHR-186T3842H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"56,860"
,,front fixed with the common glass - 8mm GlassWidth3801mm to 4200mm,
1860 T,JSE-CHR-186T4246H19X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"62,570"
,,front fixed with the common glass - 8mm GlassWidth4201mm to 4600mm,
1860 T,JSE-CHR-186T3034H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"63,170"
,,front fixed with the common glass - 8mm GlassWidth3401mm to 3800mm,
1860 T,JSE-CHR-186T3438H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"65,730"
,,front fixed with the common glass - 8mm GlassWidth3401mm to 3800mm,
1860 T,JSE-CHR-186T3842H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"68,120"
,,front fixed with the common glass - 8mm GlassWidth3801mm to 4200mm,
1860 T,JSE-CHR-186T4246H22X,T Shaped enclosure separating 2 shower/ wc areas with a common glass. 2 doors in the,"73,500"
,,front fixed with the common glass - 8mm GlassWidth4201mm to 4600mm,
