PART CODE,Description,NRP
LYR-CHR-38001B,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,"4,060"
LYR-CHR-38051B,Single Lever Basin Mixer with Popup Waste & 450mm Long Braided Hoses,"4,760"
LYR-CHR-38005B,Single Lever Tall Boy with 150mm Extension Body & 600mm Long Braided Hoses,"5,060"
LYR-CHR-38233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,400"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
LYR-CHR-38119,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","5,140"
LYR-CHR-38145,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH &,"4,840"
,SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,
LYR-CHR-38147,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with,"3,980"
,Connecting Legs & Wall Flanges,
LYR-CHR-38149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"3,710"
LYR-CHR-38783K,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,210"
LYR-CHR-38065NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,250"
,(Compatible with Item ALD-065N),
LYR-CHR-38079NK,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,780"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
LYR-CHR-38193K,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","2,030"
,For Item ALD-193),
LYR-CHR-38227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,070"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
LYR-CHR-38121K,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","38,930"
,& Shower Hose (Compatible with ALD-121),
LYR-CHR-38165,Single Lever Sink Mixer with Swinging Spout on Upper Side (Wall Mounted Model) with Connecting Legs & Wall,"4,300"
,Flanges,
LYR-CHR-38173B,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,"3,580"
LYR-CHR-38011,Pillar Cock,"2,120"
LYR-CHR-38021,Pillar Cock with 140mm Extension Body,"3,180"
LYR-CHR-38433,Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"4,760"
LYR-CHR-38441K,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,870"
,(with Seals) & Basin Spout (Compatible with ALD-441),
LYR-CHR-38421,4-Way Divertor for Concealed Fitting with Built-in Non-Return Valves with Divertor Handle,"3,090"
LYR-CHR-38309,Sink Mixer with Regular Swinging Spout (Wall Mounted Model) With Connecting Legs & Wall Flanges,"4,550"
LYR-CHR-38347S,Sink Cock with Regular Swinging Spout (Wall Mounted Model) With Wall Flange,"1,780"
LYR-CHR-38037,Bib Cock with Wall Flange,"1,720"
LYR-CHR-38041,2 Way Bib Cock with Wall Flange,"1,830"
LYR-CHR-38053,Angular Stop Cock with Wall Flange,"1,050"
LYR-CHR-38083K,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",580
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
