ALD-CHR-227,Concealed Body for Single Lever Deusch Mixer with Provision for Connection to Overhead Shower only But,"1,800"
,without Exposed Part,
ALD-CHR-229,Concealed Body for Single Lever Deusch Mixer with Provision for Connection to Spout only But without Exposed,"1,800"
,Part,
ALD-CHR-083,Regular Body of Concealed Stop Cock Suitable for 15 mm Pipe Line with Protection Cap (without Exposed,"1,050"
,Parts),
ALD-CHR-089,Regular Body of Concealed Stop Cock Suitable For 20 mm Pipe Line with Protection Cap (without Exposed,"1,060"
,Parts),
ALD-CHR-783,Aquamax Concealed Body of Single Lever Shower Mixer with 3-way diverter,"6,100"
ALD-CHR-661,Aquamax Concealed Body of Thermostatic Shower Mixer,"9,300"
ALD-CHR-681,Aquamax Concealed Body of Thermostatic Shower Mixer with 2-way diverter,"10,200"
ALD-CHR-683,Aquamax Concealed Body of Thermostatic Shower Mixer with 3-way diverter,"12,200"
ALD-CHR-121,Concealed Body for Floor Mounted Single Lever Bath Mixer,"6,320"
ALD-CHR-801B,"600mm Long Braided Hose with M10X1 Nipple, 15mm Nut, O-Ring & Rubber Washer (Suitable for Tall Boy",240
,Basin Mixers),
ALD-CHR-803AB,"450mm Long Braided Hose with M10X1 Nipple, 15mm Nut, O-Ring & Rubber Washer (Suitable for Basin Mixers)",210
ALD-CHR-805B,450mm Long Braided Hoses with Two 15mm Nuts & Rubber Washers without Nipple (Suitable for Geysers),250
ALD-CHR-573,"Hand Shower (Health Faucet) with 8mm Dia, 1.2 Meter Long Flexible Tube & Wall Hook","1,410"
ALD-CHR-563,Hand Shower (Health Faucet) with 1.2 Meter Long PVC Tube & Wall Hook,"1,010"
ALD-CHR-577,"Hand Shower (Health Faucet) with 8mm Dia, 1.2 Meter Long Flexible Tube & Wall Hook with N.R.V (Back Flow","1,510"
,Preventer),
ALD-CHR-579,Hand Shower (Health Faucet) with 1 Meter Long Easy Flex Tube in Chrome Finish & Wall Hook with NRV (Back,"1,180"
,Flow Preventer),
ALD-CHR-565,Hand Shower (Health Faucet) with 1 Meter Long Easy Flex Tube In Chrome Finish & Wall Hook,"1,110"
ALD-CHR-587,"Hand Shower (Health Faucet) (ABS Body) with 8mm Dia, 1.5 Meter Long Spirochrome flex tube & Wall Hook",960
ALD-CHR-705,Waste Coupling 32mm Size Full Thread with 80mm Height,490
ALD-CHR-705L130,Waste Coupling 32mm Size Full Thread with 130mm Height,560
ALD-CHR-709,Waste coupling 32mm Size Half Thread with 80mm Height,490
ALD-CHR-709L130,Waste coupling 32mm Size Half Thread with 130mm Height,560
ALD-CHR-727,Click Clack Waste 32mm Size Full Thread With 80mm Height,930
ALD-CHR-727L130,Click Clack Waste 32mm Size Full Thread With 130mm Height,"1,130"
ALD-CHR-729,Click Clack Waste 32mm Size Half Thread with 80mm Height,930
ALD-CHR-729L130,Click Clack Waste 32mm Size Half Thread with 130mm Height,"1,130"
ALD-CHR-769L250X190,Bottle Trap 32mm Size with 250mm & 190mm Long Wall Connection Pipes & Wall Flange,"1,640"
ALD-CHR-769L300X190,Bottle Trap 32mm Size with 300mm & 190mm Long Wall Connection Pipes & Wall Flange,"1,730"
ALD-CHR-591R,Round Wall Outlet with Shower Hook and Shut off Valve,"1,750"
ALD-CHR-1043,Urinal Spreader bowl Top Inlet 15mm with Fixing Stud,500
ALD-CHR-1041,Urinal Spreader Back Inlet 75mm Tail Slab Fixing,550
