Product Code,Description,NRP
ACN-CHR-1101S,"Grab Bar 300mm Long, Stainless Steel","1,350"
ACN-CHR-1111BNM,Single Towel Rail 450mm Long,"1,270"
ACN-CHR-1111SM,"Single Towel Rail 600mm Long, Stainless Steel","1,260"
ACN-CHR-1115S,"Swivel Towel Holder Twin Type, Stainless Steel","1,430"
ACN-CHR-1121BN,Towel Ring Round with Round Flange,950
ACN-CHR-1121N,Towel Ring Square with Round Flange,"1,210"
ACN-CHR-1131N,Soap Dish Holder,690
ACN-CHR-1135N,Soap Dispenser with Glass Bottle,"1,330"
ACN-CHR-1137N,Soap Dispenser with Metallic Bottle,"3,310"
ACN-CHR-1141N,Tumbler Holder,680
