Product Code,Description,NRP
HSH-CHR-1715,Hand Shower ø105mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated) with,"2,150"
,Rubit Cleaning System,
HSH-WHM-1715,Hand Shower ø105mm Round Shape Single Flow with Air Effect (ABS Body with Face Plate White Matt) with,"3,110"
,Rubit Cleaning System,
HSH-CHR-1717,Hand Shower ø105mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated) with,"2,470"
,Rubit Cleaning System,
HSH-CHR-1721,Hand Shower ø105mm Round Shape Multi Flow with Air Effect (ABS Body & Face Plate Chrome Plated) with,"3,580"
,Rubit Cleaning System,
HSH-CHR-1727,Hand Shower ø140mm Round Shape Single Flow with Air Effect (ABS Body & Face Plate Chrome Plated)with,"3,270"
,Rubit Cleaning System,
HSH-CHR-1729,Hand Shower ø140mm Round Shape Multi Flow with Air Effect (ABS Body & Face Plate Chrome Plated) with,"4,300"
,Rubit Cleaning System,
