Model No.,Product Code,Product Description,NRP
R 1820 W,JSE-CHR-R820W0812L,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, left","36,440"
,,version - 8mm GlassWidth800mm to 1200mm,
R 1820 W,JSE-CHR-R820W1216L,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, left","39,140"
,,version - 8mm GlassWidth1201mm to 1600mm,
R 1820 W,JSE-CHR-R820W1620L,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, left","41,810"
,,version - 8mm GlassWidth1601mm to 2000mm,
R 1820 W,JSE-CHR-R820W0812R,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, right","36,440"
,,version - 8mm GlassWidth800mm to 1200mm,
R 1820 W,JSE-CHR-R820W1216R,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, right","39,140"
,,version - 8mm GlassWidth1201mm to 1600mm,
R 1820 W,JSE-CHR-R820W1620R,"Ritz Collection - Wall to wall enclosure with one fixed glass and openable door fixed with wall, right","41,810"
,,version - 8mm GlassWidth1601mm to 2000mm,
R 1820 G,JSE-CHR-R820G0812L,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"39,310"
,,"glass, left version - 8mm GlassWidth800mm to 1200mm",
R 1820 G,JSE-CHR-R820G1216L,Ritz Collection - Wall to wall enclosure with one fixed glass and one openable door fixed with the,"41,860"
,,"glass, left version - 8mm GlassWidth1201mm to 1600mm",
