PART CODE,Description,NRP
QQT-CHR-7219,Wall Mixer Non-Telephonic Shower Arrangement with Connecting Legs & Wall Flanges,"5,300"
QQT-CHR-7421,4-Way Divertor for Concealed Fitting with Built-in Non-Return Valves with Divertor Handle,"3,400"
QQT-CHR-7095,Bath Tub Filler Consisting of 2 Control Cocks and One Spout,"7,230"
QQT-CHR-7271,Bath Tub Mixer (Exposed Straight Legs) with Telephone Shower Arrangement & Crutch (without Hand Shower,"8,360"
,and Shower Hose),
QQT-CHR-7271HL,Bath and Shower Mixer with Telephonic Shower Crutch and 950mm High Rise Legs (without Shower & Shower,"17,340"
,Hose),
QQT-CHR-7277,"4-Hole Bath Tub Mixer consisting of 2 No. Control Cocks, 1 Spout, 1 Telephone Shower with 8mm Dia. & 1.5M","9,650"
,Long Flexible Tube,
QQT-CHR-7309,Sink Mixer with Regular Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,"5,200"
QQT-CHR-7319B,"Sink Mixer, 1-Hole with Regular Spout (Table Mounted Model) with 450mm Long Braided Hoses","5,240"
QQT-CHR-7347,Sink Cock with Regular Swinging Spout (Wall Mounted Model) with Wall Flange,"2,870"
QQT-CHR-7613B,1 - Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"6,190"
QQT-CHR-7037,Bib Cock with Wall Flange,"2,050"
QQT-CHR-7041,2-Way Bib Cock with Wall Flange,"2,600"
QQT-CHR-7053,Angular Stop Cock with Wall Flange,"1,600"
QQT-CHR-7083K,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",860
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
