PART CODE,Description,NRP
DRC-CHR-37011B,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,"5,520"
DRC-CHR-37051B,Single Lever Basin Mixer with Popup Waste & 450mm Long Braided Hoses,"6,560"
DRC-CHR-37005B,Single Lever Tall Boy with 140mm Extension Body Fixed Spout without Popup Waste System with 600mm Long,"7,920"
,Braided Hoses,
DRC-CHR-37233NK,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,750"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
DRC-CHR-37119,"Single Lever Wall Mixer With Provision Of Hand Shower, But without Hand Shower","8,080"
DRC-CHR-37145,Single Lever Exposed Shower Mixer With Provision For Connection to Exposed Shower Pipe (SHA-1211NH &,"5,140"
,SHA-1213) & Hand Shower  With Connecting Legs & Wall Flanges,
DRC-CHR-37147,Single Lever Exposed Shower Mixer With Provision For Connection to Exposed Shower Pipe (SHA-1211N) With,"4,570"
,Connecting Legs & Wall Flanges,
DRC-CHR-37149,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"4,230"
DRC-CHR-37055NK,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with","1,370"
,Seals) Button Assembly Sleeve & Button (Compatible with ALD-055N),
DRC-CHR-37079NK,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,560"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
DRC-CHR-37193K,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","1,600"
,For Item ALD-193),
DRC-CHR-37227K,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,330"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
DRC-CHR-37121K,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","38,940"
,& Shower Hose (Compatible with ALD-121),
DRC-CHR-37165,Single Lever Sink Mixer With Swinging Spout on Upper Side (Wall Mounted Model) With Connecting Legs & Wall,"4,870"
,Flanges,
DRC-CHR-37001,Pillar Cock,"2,050"
DRC-CHR-37021,Pillar Cock with 140mm Extension Body,"2,830"
DRC-CHR-37433,Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"4,970"
DRC-CHR-37441K,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","2,070"
,(with Seals) & Basin Spout (Compatible with ALD-441),
DRC-CHR-37421,4-Way Divertor for Concealed Fitting with Built-in Non-Return Valves with Divertor Handle,"3,350"
DRC-CHR-37309,Sink Mixer with Regular Swinging Spout (Wall Mounted Model) With Connecting Legs & Wall Flanges,"4,600"
DRC-CHR-37347S,Sink Cock with Regular Swinging Spout (Wall Mounted Model) With Wall Flange,"1,780"
DRC-CHR-37037,Bib Cock with Wall Flange,"1,730"
DRC-CHR-37041,2 Way Bib Cock with Wall Flange,"1,980"
DRC-CHR-37083K,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",670
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
