PART CODE,Description,NRP
OPP-CHR-15001PM,Pillar Cock,"1,920"
OPP-CHR-15021PM,Pillar Cock with 200mm Extension Body,"2,650"
OPP-CHR-15433PM,Two Concealed Stop Cocks with Basin Spout (Composite One Piece Body),"4,670"
OPP-CHR-15441KPM,"Exposed Part Kit of Single Concealed Stop Cock Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,870"
,(with Seals) & Basin Spout (Compatible with ALD-441),
OPP-CHR-15037PM,Bib Cock with Wall Flange,"1,830"
OPP-CHR-15041PM,2 Way Bib Cock with Wall Flange,"2,050"
OPP-CHR-15053PM,Angular Stop Cock with Wall Flange,"1,060"
OPP-CHR-15083KPM,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall",600
,"Flange with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
