FLR-CHR-5613NB,1 - Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"4,410"
FLR-CHR-5037N,Bib Cock (Angular Shape) with Wall Flange,"1,580"
FLR-CHR-5047N,Bib Cock (Straight Line Model) with Wall Flange,"1,530"
FLR-CHR-5041N,2 Way Bib Cock with Wall Flange,"2,120"
FLR-CHR-5053N,Angular Stop Cock with Wall Flange,"1,120"
FLR-CHR-5083NK,"Exposed Part Kit of Concealed Stop Cock & Flush Cock with Fitting Sleeve, Operating Lever & Adjustable Wall Flange",470
,"with Seal (compatible with ALD-083, ALD-089 & ALD-081)",
