Model No.,Product Code,Product Description,NRP
1810 F,JSE-CHR-810F0680H19X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth600mm to 800mm,"10,160"
1810 F,JSE-CHR-810F0812H19X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth801mm to 1200mm,"13,020"
1810 F,JSE-CHR-810F1216H19X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth1201mm to 1600mm,"15,860"
1810 F,JSE-CHR-810F1618H19X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth1601mm to 1800mm,"18,450"
1810 F,JSE-CHR-810F0680H22X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth600mm to 800mm,"12,140"
1810 F,JSE-CHR-810F0812H22X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth801mm to 1200mm,"15,220"
1810 F,JSE-CHR-810F1216H22X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth1201mm to 1600mm,"18,330"
1810 F,JSE-CHR-810F1618H22X,Free Standing Bathscreen without stabiizer rod - 8mm GlassWidth1601mm to 1800mm,"21,120"
Stabilizer,ZBR-CHR-STABWWX,SHOWER ENCLOSURES STABLIZER 8MM,"2,720"
Stabilizer,ZJE-CHR-STABWGX,SHOWER ENCLOSURES STABLIZER 8MM,"2,600"
1810 T,JSE-CHR-810T0680X,Tub mounted enclosure - 8mm GlassWidth600mm to 800mm,"8,980"
1810 T,JSE-CHR-810T0812X,Tub mounted enclosure - 8mm GlassWidth801mm to 1200mm,"11,320"
1810 T,JSE-CHR-810T1216X,Tub mounted enclosure - 8mm GlassWidth1201mm to 1600mm,"13,570"
1810 T,JSE-CHR-810T1618X,Tub mounted enclosure - 8mm GlassWidth1601mm to 1800mm,"16,440"
1810 D,JSE-CHR-810D0680H19X,Wall to wall enclosure only door with towel rod and handle - 8mm GlassWidth600mm to,"13,160"
,,800mm,
1810 D,JSE-CHR-810D0810H19X,Wall to wall enclosure only door with towel rod and handle - 8mm GlassWidth801mm to,"14,680"
,,1000mm,
1810 D,JSE-CHR-810D0680H22X,Wall to wall enclosure only door with towel rod and handle - 8mm GlassWidth600mm to,"15,310"
,,800mm,
1810 D,JSE-CHR-810D0810H22X,Wall to wall enclosure only door with towel rod and handle - 8mm GlassWidth801mm to,"16,990"
,,1000mm,
1810 U,JSE-CHR-810UC450X,Curved shaped Urinal partition - 8mm GlassWidth450mm,"4,970"
1810 U,JSE-CHR-810US450X,Rectangular shaped Urinal Partition - 8mm GlassWidth450mm,"4,970"
1810 U ( Project ),JSE-CHR-810UCP450X,PARTITION GLAS FOR URINALS 450MMWidth450mm,"4,160"
1810 U ( Project ),JSE-CHR-810USP450X,PARTITION GLAS FOR URINALS 450MMWidth450mm,"4,160"
1810BT - clear,JSE-CHR-810BT6060X,BASIN PARTITION TABLE TOP WITH 8MM CLEAR,"4,400"
1810BT - frosted,JSE-CHR-810BTF6060X,BASIN PARTITION TABLE TOP WITH 8MM FROST,"4,720"
1810BW - clear,JSE-CHR-810BW6090X,BASIN PARTITION WALL HUNG WITH 8MM CLEAR,"5,270"
1810BW - frosted,JSE-CHR-810BWF6090X,BASIN PARTITION WALL HUNG WITH 8MM FROST,"5,740"
1810UF,JSE-CHR-810UF60H19X,FULL HEIGHT URINAL PARTITION WITH 8MM FR,"9,000"
1820 W,JSE-CHR-820W0812H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"20,820"
,,Width800mm to 1200mm,
1820 W,JSE-CHR-820W1216H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"24,620"
,,Width1201mm to 1600mm,
1820 W,JSE-CHR-820W1620H19X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"27,660"
,,Width1601mm to 2000mm,
1820 W,JSE-CHR-820W0812H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"24,730"
,,Width800mm to 1200mm,
1820 W,JSE-CHR-820W1216H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"28,850"
,,Width1201mm to 1600mm,
1820 W,JSE-CHR-820W1620H22X,Wall to wall enclosure with one fixed glass and openable door fixed with wall - 8mm Glass-,"31,600"
,,Width1601mm to 2000mm,
1820 G,JSE-CHR-820G8012H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"20,430"
,,8mm GlassWidth800mm to 1200mm,
1820 G,JSE-CHR-820G1216H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"23,740"
,,8mm GlassWidth1201mm to 1600mm,
1820 G,JSE-CHR-820G1620H19X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"27,280"
,,8mm GlassWidth1601mm to 2000mm,
1820 G,JSE-CHR-820G8012H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"25,460"
,,8mm GlassWidth800mm to 1200mm,
1820 G,JSE-CHR-820G1216H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"28,640"
,,8mm GlassWidth1201mm to 1600mm,
1820 G,JSE-CHR-820G1620H22X,Wall to wall enclosure with one fixed glass and one openable door fixed with the glass -,"32,570"
,,8mm GlassWidth1601mm to 2000mm,
1830 G,JSE-CHR-830G1216H19X,Wall to wall enclosure with 2 fixed glass and 1 openable door in between- 8mm Glass-,"27,350"
,,Width1200mm to 1600mm,
