Model No.,Product Code,Product Description,NRP
1840 L,JSE-CHR-840L9090SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel in Standard dimension-,"33,640"
,,8mm Glass Width 900X900,
1840 L,JSE-CHR-840L1010SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel in Standard dimension-,"35,550"
,,8mm Glass Width1000X1000,
1840 L,JSE-CHR-840L1210SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel in Standard dimension-,"35,980"
,,8mm Glass Width 1200X1000,
1840 L,JSE-CHR-840L1212SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with side panel in Standard dimension-,"37,540"
,,8mm Glass Width 1200X1200,
1840 W,JSE-CHR-840W9090SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall in Standard dimension - 8mm,"33,080"
,,Glass Width 900X900,
1840 W,JSE-CHR-840W1010SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall in Standard dimension - 8mm,"34,360"
,,Glass Width1000X1000,
1840 W,JSE-CHR-840W1210SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall in Standard dimension - 8mm,"35,610"
,,Glass Width 1200X1000,
1840 W,JSE-CHR-840W1212SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with wall in Standard dimension - 8mm,"37,180"
,,Glass Width 1200X1200,
1840 G,JSE-CHR-840G9090SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel in Standard dimension,"32,920"
,,- 8mm Glass Width 900X900,
1840 G,JSE-CHR-840G1010SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel in Standard dimension,"34,210"
,,- 8mm Glass Width 1000X1000,
1840 G,JSE-CHR-840G1210SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel in Standard dimension,"35,450"
,,- 8mm Glass Width 1200X1000,
1840 G,JSE-CHR-840G1212SX,Corner enclosure with 2 fixed glass and 1 openable door fixed with front panel in Standard dimension,"37,030"
,,- 8mm Glass Width 1200X1200,
1840 P,JSE-CHR-840P9090SX,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door in standard dimension -,"33,170"
,,8mm Glass Width900X900,
1840 P,JSE-CHR-840P1010SX,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door in standard dimension -,"34,460"
,,8mm Glass Width 1000X1000,
1840 P,JSE-CHR-840P1210SX,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door in standard dimension -,"36,330"
,,8mm Glass Width 1200X1000,
1840 P,JSE-CHR-840P1212SX,Pentagonal shaped Corner enclosure with 2 fixed glass and 1 openable door in standard dimension -,"37,890"
,,8mm Glass Width1200X1200,
1820 W,JSE-CHR-820W1300SX,Wall to wall enclosure with one fixed glass and openable door fixed with wall in Standard dimension-,"21,160"
,,8mm Glass Width 1300,
1820 W,JSE-CHR-820W1400SX,Wall to wall enclosure with one fixed glass and openable door fixed with wall in Standard dimension-,"21,800"
,,8mm Glass Width 1400,
1820 W,JSE-CHR-820W1500SX,Wall to wall enclosure with one fixed glass and openable door fixed with wall in Standard dimension-,"22,620"
,,8mm Glass Width 1500,
1820 W,JSE-CHR-820W1600SX,Wall to wall enclosure with one fixed glass and openable door fixed with wall in Standard dimension-,"24,060"
,,8mm Glass Width1600,
1830 G,JSE-CHR-830G1500SX,Wall to wall enclosure with 2 fixed glass and 1 openable door in between in Standard dimension-,"27,810"
,,8mm Glass Width1500,
1830 G,JSE-CHR-830G1600SX,Wall to wall enclosure with 2 fixed glass and 1 openable door in between in Standard dimension-,"28,350"
,,8mm Glass Width 1600,
1830 G,JSE-CHR-830G1700SX,Wall to wall enclosure with 2 fixed glass and 1 openable door in between in Standard dimension-,"29,020"
,,8mm Glass Width 1700,
1830 G,JSE-CHR-830G1800SX,Wall to wall enclosure with 2 fixed glass and 1 openable door in between in Standard dimension-,"29,830"
,,8mm Glass Width 1800,
1810 S,JSE-CHR-810S900SX,Free Standing Bathscreen with stabiizer rod in Standard dimension- 8mm Glass Width 900,"14,090"
1810 S,JSE-CHR-810S1000SX,Free Standing Bathscreen with stabiizer rod in Standard dimension- 8mm Glass Width1000,"14,670"
1810 D,JSE-CHR-810D700SX,Wall to wall enclosure only door with towel rod and handle in standard dimension- 8mm Glass Width,"11,040"
,,700,
1840-F,JSE-CHR-840F8080SX,Corner enclosure with one fixed glass and one openable door in Standard dimension - 8mm Glass,"29,960"
,,Width 800X800,
1840-F,JSE-CHR-840F9090SX,Corner enclosure with one fixed glass and one openable door in Standard Dimension- 8mm Glass,"31,650"
,,Width 900X900,
1840-F,JSE-CHR-840F9010SX,Corner enclosure with one fixed glass and one openable door in Standard Dimension- 8mm Glass,"32,670"
,,Width 900X1000,
