Present Codes,Description,NRP
DIS-WHT-93201,Cistern With Dual Flush Cistern Fitting For 93751P180UF,"6,350"
DIS-WHT-93753P180UF,"Rimless Bowl For Coupled WC With UF Soft Close Seat Cover, Hinges, Fixing Accessories, Size:","14,600"
,"390x610x800 mm, P Trap- 180 mm",
DIS-WHT-93801,"""Wall Hung Basin With Fixing Accessories,","9,800"
,"Size: 650X565X155 mm""",
DIS-WHT-93951UF,"Wall Hung WC With UF Soft Close Seat Cover, Hinges And Accessories Set, Size: 350x750x340 mm","25,480"
DIS-WHT-93955P180UF,"Rimless Back To Wall WC With UF Soft Close Seat Cover, Hinges, Fixing Accessories And Accessories","15,700"
,"Set, Size: 360x515x410 mm, P Trap- 180 mm",
