PART CODE,Description,NRP
OPP-CHR-15011BPM,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,"3,910"
OPP-CHR-15051BPM,Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses,"5,010"
OPP-CHR-15005BPM,Single Lever Tall Boy with 150mm Extension Body Fixed Spout without Popup Waste System with 600mm Long,"5,320"
,Braided Hoses,
OPP-CHR-15233NKPM,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall","3,380"
,"Flange, Nipple & Spout (Compatible with ALD-233N & ALD-235N)",
OPP-CHR-15115PM,Single Lever Wall Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211N) with Connecting,"7,000"
,Legs & Wall Flanges,
OPP-CHR-15119PM,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower","6,930"
OPP-CHR-15117PM,"Single Lever Wall Mixer with Provision For Overhead Shower with 115mm Long Bend Pipe On Upper Side,","7,740"
,Connecting Legs & Wall Flanges,
OPP-CHR-15125PM,Single Lever Wall Mixer 3-in-1 System with Provision for both Hand Shower and Overhead Shower Complete,"8,220"
,"with 115mm Long Bend Pipe, Connecting Legs & Wall Flange (without Hand & Overhead Shower)",
OPP-CHR-15149PM,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,"4,150"
OPP-CHR-15783KPM,Aquamax Exposed Part Kit of Single Lever Shower Mixer with 3-way diverter (Suitable for ALD-783),"2,350"
OPP-CHR-15065NKPM,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Wall Flange (with Seals) & Button Only","1,450"
,(Compatible with Item ALD-065N),
OPP-CHR-15079NKPM,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,780"
,"(with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",
OPP-CHR-15193KPM,"Single Lever 3-inlet Divertor Exposed parts kit Consisting of Operating Lever, Wall Flange & Button Only (Suitable","1,570"
,For Item ALD-193),
OPP-CHR-15227KPM,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve, Wall Flange","1,280"
,"(with Seals), (Compatible with ALD-227 & ALD-229)",
OPP-CHR-15121KPM,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower","37,140"
,& Shower Hose (Compatible with ALD-121),
OPP-CHR-15173BPM,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,"3,680"
OPP-CHR-15213BPM,Single Lever 1-Hole Bidet Mixer with Popup Waste System with 375mm Long Braided Hoses,"5,010"
