FLV-CHR-1095N,Metropole Flush Valve Regular 32mm Size (Concealed Body) with Exposed Shut off Provision  & Round Flange,"3,350"
FLV-CHR-1095NG,Metropole Flush Valve Regular 32mm Size (Concealed Body) with Exposed Shut Off Provision (Fixed Discharge of,"3,490"
,4.0 Lts. Per Flushing),
FLV-CHR-1095NSQ,Metropole Flush Valve Regular 32mm Size (Concealed Body) with Exposed Shut off Provision & 100mm Square,"3,350"
,Plate,
FLV-CHR-1085N,Metropole Flush Valve Dual Flow 32mm Size (Concealed Body)  with Exposed Shut off Provision & Round Flange,"3,510"
,(3.0/6.0 Lts. Per Flushing),
FLV-CHR-1085NG,Metropole Flush Valve Dual Flow 32mm Size (Concealed Body) with Exposed Shut Off Provision (2.0/4.0 Lts. Per,"3,650"
,Flushing),
FLV-CHR-1085NSQ,Metropole Flush Valve Dual Flow 32mm Size (Concealed Body)  with Exposed Shut off Provision & 100mm Square,"3,510"
,Plate (3.0/6.0 Lts. Per Flushing),
FLV-CHR-1085DFP,Metropole Flush Valve Dual Flow 32mm Size (Concealed Body) with Concealed Shut off Provision & Rectangular,"4,140"
,"Dual Flush Plate, ABS Chrome Plated (3.0/6.0 Lts. Per Flushing)",
FLV-CHR-1093N,Metropole Flush Valve Regular 40mm Size (Concealed Body) with Exposed Shut off Provision & Round Flange,"3,590"
FLV-CHR-1093NSQ,Metropole Flush Valve Regular 40mm Size (Concealed Body) with Exposed Shut off Provision & 100mm Square,"3,590"
,Plate,
FLV-CHR-1089N,Metropole Flush Valve Dual Flow 40mm Size (Concealed Body) with Exposed Shut off Provision Round Flange,"3,750"
,(3.0/6.0 Lts. Per Flushing),
FLV-CHR-1089NG,Metropole Flush Valve Dual Flow 40mm Size (Concealed Body) with Exposed Shut Off Provision (2.0/4.0 Lts. Per,"3,890"
,Flushing),
FLV-CHR-1089NSQ,Metropole Flush Valve Dual Flow 40mm Size (Concealed Body) with Exposed Shut off Provision & 100mm Squre,"3,750"
,Plate (3.0/6.0 Lts. Per Flushing),
FLV-CHR-1089DFP,Metropole Flush Valve Dual Flow 40mm Size (Concealed Body) with Concealed Shut off Provision & Rectangular,"4,390"
,"Dual Flush Plate, ABS Chrome Plated (3.0/6.0 Lts. Per Flushing)",
